Level1	Level2	Level3	Com_341	Com_738	Com_862	Com_876	Com_900	Com_908	Com_947	Com_962	Com_jb
Cellular processes	Cell growth and death	Apoptosis	NA	NA	NA	NA	1	NA	NA	NA	NA
Cellular processes	Cell growth and death	Apoptosis- fly	1	NA	NA	NA	1	NA	NA	NA	NA
Cellular processes	Cell growth and death	Cell cycle	1	NA	NA	NA	NA	NA	NA	NA	NA
Cellular processes	Cell growth and death	Cellular senescence	1	NA	NA	NA	NA	NA	NA	NA	NA
Cellular processes	Cell growth and death	Ferroptosis	NA	NA	NA	NA	1	NA	NA	NA	1
Cellular processes	Cell growth and death	Necroptosis	NA	NA	NA	NA	1	NA	NA	NA	NA
Cellular processes	Cell growth and death	Oocyte meiosis	1	NA	NA	NA	NA	NA	NA	NA	NA
Cellular processes	Cell growth and death	p53 signaling pathway	1	NA	NA	NA	NA	NA	NA	NA	NA
Cellular processes	Cell motility	Bacterial chemotaxis	NA	NA	NA	NA	NA	NA	2	NA	NA
Cellular processes	Cellular community- prokaryotes	Biofilm formation- Escherichia coli	NA	NA	NA	NA	1	NA	3	NA	1
Cellular processes	Cellular community- prokaryotes	Biofilm formation- Pseudomonas aeruginosa	NA	2	NA	4	NA	NA	NA	NA	1
Cellular processes	Cellular community- prokaryotes	Biosilm formation- Vibrio cholerae	NA	NA	NA	NA	1	NA	1	NA	3
Cellular processes	Cellular community- prokaryotes	Quorum sensing	1	13	NA	4	1	4	1	4	5
Cellular processes	Transport and catabolism	Lysosome	NA	NA	NA	NA	NA	NA	1	NA	1
Cellular processes	Transport and catabolism	Peroxisome	NA	NA	NA	NA	NA	1	NA	NA	NA
Cellular processes	Transport and catabolism	Phagosome	1	NA	NA	NA	NA	NA	NA	NA	NA
Environmental information processing	Membrane transport	ABC transporters	9	7	9	4	13	12	10	1	13
Environmental information processing	Membrane transport	Bacterial secretion system	NA	NA	NA	1	NA	NA	1	NA	3
Environmental information processing	Membrane transport	Phosphotransferase system (PTS)	NA	2	NA	NA	1	NA	1	NA	NA
Environmental information processing	Signal transduction	Calcium signaling pathway	1	NA	NA	NA	NA	NA	NA	NA	NA
Environmental information processing	Signal transduction	FoxO signaling pathway	1	NA	NA	NA	NA	NA	NA	NA	NA
Environmental information processing	Signal transduction	MAPK signaling pathway	1	NA	NA	NA	NA	NA	NA	NA	NA
Environmental information processing	Signal transduction	MAPK signaling pathway- plant	NA	NA	1	NA	NA	NA	NA	NA	1
Environmental information processing	Signal transduction	NF-kappa B signaling pathway	1	NA	NA	NA	NA	NA	NA	NA	NA
Environmental information processing	Signal transduction	Phospholipase D signaling pathway	1	NA	NA	NA	NA	NA	NA	NA	NA
Environmental information processing	Signal transduction	PI3K-Akt signaling pathway	1	NA	NA	NA	NA	NA	NA	NA	NA
Environmental information processing	Signal transduction	Plant hormone signal transduction	NA	NA	NA	1	NA	NA	NA	NA	NA
Environmental information processing	Signal transduction	Two-component system	5	9	2	NA	2	7	3	3	5
Environmental information processing	Signaling molecules and interaction	Neuroactive ligand-receptor interaction	1	NA	NA	NA	NA	NA	NA	NA	NA
