Compund	900_1	900_2	900_3	900_4	900_5	738_1	738_2	738_3	738_4	738_5	962_1	962_2	962_3	962_4	962_5	862_1	862_2	862_3	862_4	862_5	876_1	876_2	876_3	876_4	876_5	BHB_1	BHB_2	BHB_3	BHB_4	BHB_5	947_1	947_2	947_3	947_4	947_5	341_1	341_2	341_3	341_4	341_5	908_1	908_2	908_3	908_4	908_5
Ethyl alcohol 	355043	285147.6	223528.3	305472.7	182103.3	418125.4	182048.3	252526.6	379308.5	323884.2	920602.6	653867.3	628411.1	191602.5	443469.9	764404.2	563931.5	590480.5	592022.4	196656.4	245451.5	148431.0	295820	143591.3	202104.4	332940.7	234441.4	440474.1	214912.1	191935.4	119739.7	104395.2	107753.8	121456.9	358953	154908.8	85075.0	553203.1	402942.5	359809.5	222023.4	379660.6	381645	1026953.9	694719.1
2-Propenal 	7564.2	8361.1	11100.3	13447.3	11677.8	8449.7	9441.6	16811.1	16689.3	16150.5	10944.6	13705.3	10929	10512.4	8985.7	10024.8	12324.4	7486.6	8672.7	7979.4	6490.6	7707.9	9427.3	7870.1	9531.4	6383.7	6470.8		13407.5	8392.6	10497.9	32733.1	21656.8	12956.7	14444.8	15683.1	10615.6	13520.3	16484.7	18652.8	14638.1	14373.8	17889.3	18365.3	18904.9
Trimethylamine 	72938.6	83503.9	147989.4	96275.6	91962.9	65635.4	85132.4	84801	80386.9	81068.7	94597.8	127857.3	75315	129951.8	101414.5	126232.2	100933.8	89161.9	94381.4	78168.2	72994.3	64484.5	100297.9	96139.5	89549	119999.8	73138.4	213552.8	108356.3	97623.3	79599.8	88468.2	195318	173171.1	105387.2	80272.8	71484.0	83581.7	117486.8	152165.6	100854	90335.3	165602.6	110791.1	106128.4
2,3-Butanedione 	295250.5	241418.3	169745.8	229289.2	192125.3	245609.4	231257.3	221779.3	232372.8	205311.3	366095.2	330908.3	272942.6	215828.3	212547.6	260381.6	316944.2	247914.6	244585	237324.6	160509	143701.7	238480.3	152194.4	161573.7	315663.8	195970.2		159797.4	133171.1	159451	114868.7	135717.1	121383	137376.8	173719.8	144952.7	229222.9	181677.1	196123.5	164836.6	207178.2	125998.4	257375	176756
2-Methylpropanal	638309.8	499058.7	431929.4	475227.3	477730.3	494310	576615.6	450065.3	400834.7	437955.4	527475.6	567719.3	489115.3	540468.5	451284.4	398741.7	323324.5	393398.2	187753	231515.6	627079.4	611238.9	611598	551828.2	663473.1	794372.4	568787.2	465510.2	431850.9	439091.6	350686.3	274788.9	201088.7	222554.6	203712.2	368571.9	313309.1	313393.1	256543.5	355470.7	179001.9	172879.5	108940.2	128356.5	105064.9
2-Butanone 	603870.8	501525.1	420013.1	453162.4	447871.1	465640.7	579278.6	454185.3	394370.7	414766.2	499470.9	551573.4	469134.4	522484	448528.5	432247.5	313788.2	389087	228554.9	238070.9	679599.6	642380.6	597703	639744.9	652899.4	764120.4	557528.6	457466	466992.4	436433	320674.8	250996.3	197204.9	216103	209340.3	370917.6	304328.6	294278.4	271890.6	355508	170187.5	159097.2	118476.3	143673.7	100015.4
2-Propen-1-ol																21236.4	22668.7	16071.9	15886.1	12010.1	16878	16455.7	16462.6	12997.4	15159.7			27222.1	42957.3	35175.3	28611.9	23969.6	18355	21632.8	19756.3	32908.7	28973.7	26748.2	24502.1	32158.7	18335.7	15130.9	11144.5	14874.5	11422.7
2-Ethoxy-2-methylpropane	11492.6	10421.5	10751	9453.9	10999.8	11064.6	13101	13854.2	13395.5	13109.4	7662.3	9883.8	8436	7149.2	9394.5	6958.7	8997.4	7464.6	8572.4	8023	4232.3		3785.1	2623.8	2817.4	11280.6	9097.9	13734.3	7820.5	7357.3	5750.3	4178.8	3697.4	3356.7	5057.5	4666.7	3875.8	5528.8	4753.1	5923.5	2560.3	3844.3	2952.2	4030.5	3310
3-Methylbutanal 	3681.5	2933.1	3681.5	3379.7	3516.5	1987.3	3734.7	2394.9	2243.5	1543.6	2359.9	1771.5	3743.9	3054	2742.5	2538.6	2393.8	3124.6	4620	2448.2	2213.5	1964.8	2380	2753.9	2286.4	4293.1	3216.4		2819.7	2088.6	2230.8	1784.0	1361.3	1473.2	1905.3	2636.4	2342.3	2280.6	2577.7	2143		2155.5	2056.8	2740.8	2017.3
Amylene Hydrate	10622.4	11379.3	7443.6	10031.7	7859.7	6540	9792.1	7207.6	7243.6	11043	8852.3	9008.6	9717.5	9320.2	9875.4	9250.4	9943.6	9045.3	8379.3	9395	7070.3	4056.3	5234	5295	4658.1	13103.9	9564.6	9601	9227	8991.4	7578.3	7934.8	6226.8	5071.5	7121.5	6965.2	6044.1	8585.3	7398.6	8655.4	6523.4	6093.2	6407.8	7982	7054.7
Benzene 	4921.7	4985.7	3458.7	22913.1	5280.7	3836.8	5702.5	5565.6	7133.6	4059.5	3571.4	6226.5	3462.6	3004.8	3840	5798.1	4316.7	3282.2	6269.2	7016.5		2897.4	7047.9	5046.7	8259.1	3536.3	4796.1	6585.9	10422.9	4074.8	2964.6	3936.6	5591.3	3916.5	3823.6	5921.9	5377.8	4541.9	4089.6	4420.3	6358	4756.5	4957	7271.4	75106.7
3-Methyl-2-butanone 	111184	113016.7	95838.9	97040.6	106724.8	64666.2	114036	70936.4	67100.7	82788.7	40484.6	42978	37259	41249.6	33023.6	78615.8	78635.9	56472.9	49397.5	55196.8	39371	35970.4	38218.1	35765.7	31694	68482.7	60460.5	54919.1	53296.5	52147.6	69084.3	64572.9	51049	58918.2	63013.7	52757.3	45875.3	52029.2	44687.2	68834.6	46910.9	36576.5	28271.2	41720.4	35648.9
25	37602.8	24087.2	34075.9	34770.4	39225.1	17695.5	43919	61229.7	38111.9	42964.9	22509	26479.6	23915.3	28290.7	19965.1	32047.1	42719.6	47710.6	42102.5	40035.8	40037.8	28850.0	56081.3	41672.5	50779.6	57249.8	48480.7	416388.9	40342.4	59184.1	44259	34575.2	31939	49246.4	61971.9	52053.2	23267.1	49825.3	26338.3	50386.2	36885	37905.3	30666.4	69984.8	42253.9
1-Butanol 																																													
2-Methylbutanal																																													
Acetic acid 	15941.6	17893.9	319017.4	60238.3	41795.2	39253.3	97741.7	346741.2	48782.9	17223.8	22323.4	33173.8	48180.7	33119.1	37213.5	31847.6	17365.5	11913.4	218865.7	73829.1	40653.6	17583.2	11229.9	40887	63946.5	94222.9	19851.3		134732.1	25885.5	72764.5	35405.5	57274.9	24584.8	21599.7	31498.8	63897.2	17127.5	9495.3	25923.2	56937.5	39242.0	10210.1	10441.1	29017.1
2-Pentanone	56207.7	44517	52396.5	39075.7	39519.3	148368.7	170158.36	191220.4	134178.5	148482.8	88151	78887.1	100745.2	72879.6	66916.3	51045.8	69000.3	43793.5	39254.9	49101.6	31317.4	44719.3	31038.2	52365.7	55464.3	64925	44874.7		53404.3	39152.2	52406.5	58557.5	53880.9	42281.9	49500.1	34784.5	61588.2	31794.7	31359.8	41572.7	51863.6	44196.4	35395.6	45864.3	37705.8
Heptane																																													
2,3-Pentanedione						9920.2	17655.9	16534.5	16378.7	20066.2																15068.2	17675.8		16704.9	18526															
1-Penten-3-ol 	13331.4	8786.4		12021.1	10859.4	12087.3	13774.1	16917.5	6898	19871.3	6977.1	7484.8	7851.8	6820	6800.5	11201.1	13710.9	11234.1		12862.8	2662.2		2271.3		2985	16675.8	16592.0		14576.1	15000.6	9580.7	9074.0	7669.4	7724.7	7202.1	10811.9	9944.4	10745	9124.1	11379.2	10097.6	10362.1	18435.6	10204.3	9208.4
Pentanal	1320.4	1481.3	2767.1	3217.7	2194.6	2086	3307	7236.3	11603.8	4338	3429.3	3819.5	2593.4	1864.2	1503.5	3776.5	4118.5	3329.8	3002.2	3120.9	4356.6	3828.6	6924.7	4274.8	4010.4	1905.8	1871.2	75513.5	5116.6	4112.1	3594	7683.1	7375.1	12960.4	3889.6	7112.2	3088.9	3201.3	4970.8	5814	4380.1	4000.6	10901.2	7847.7	4067.7
1-Hydroxy-2-propanone 	35068.1	58680.3	60930	69904.1	66907.6	118604.5	134068.8	120625.1	128582.1	34636.2	81157.3	25355.8	74089.6	63603.3	57032.8	36330.8	44708.6	73222.6	158556.2	114826.4	65325.8	39139.1	648291.4	610704	332853.3	57353.2	42084.1		121065.6	49580.4	118483.1	55270.5	61698.5	57836.6	62503.7	110523.2	103216.7	54442.6	46881.6	75023.5	43008.7	101707.9	52927.1	50284.7	33760.7
Propanoic acid  	2724.7	2560.3	5425.5	6467.1	6997.8	2554.3	5528.2	13271	4609	2449.6	4481.1	4440.9	4091.5	3523.7	4996.6	3150.3	2251.9	2251.3	7108.5	7914.2	3676.9	2130.9		2189	2044.5	3279.4	3745.9		5713.9	2879	4251.4	1634.3	2280.2	2425	1794.4	2833.9	2054.1	3051.7	2215.1	3539	3645.2	7027.7	1953.1	2906.8	5344.3
n-Propyl acetate																																													
3-Hydroxy-2-butanone																					3099234.1	2785308.8	1869808.6	2185963.2	1127675.5																				
3-Methyl-1-buten-1-ol 	2585.3	2928.5	2573	2584.5	2517.1	2264.1	2488.3	4897.9	5037.4	4265.9	2812.6	2573.5	3487.5	2071.9	1893.3	2723.7	3207.0	2598	3291.5	4280.7	2187.6	2199.6	2665.1	3000.6	2012.7	3449.8	3815.2	3113.6	4049	4281.1	3457.5	4849.4	4210.3	4415.2	4618.6	3569.8	1222.1	3681.6	2549.7	2925.2	1864.8	1544.0	2908.6	3920.1	2118.4
2E-Penten-1-ol						14341.4	17048.5	21782.1	17681.1	14455.6	6608.5	6454.4	5551.6	4661.4	5499.5	17053.1	15048.6	16557.6	14602.1	17145.4	4497.3	5161.0	6890.7	4621.8	4456	11542.3	9657.7		9609.3	8678.6	10652.2	11618.5	9028.1	9479.2	11325.4	9741.4	8144.6	10270	8208.5	9730.1	11475.8	10949.9	14637.1	11183.1	8222.2
4,4-Dimethyl-2-pentanone	144896.3	132209.7	103381	126013.6	135596.9	56703.5	70259.3	63006	62920.9	65122	25188.6	32167.1	30185	24325.9	30795.1	73278	74046.0	90108.1	56297.1	57872.8	309836.4	243159.2	169671.6	24097.8	145465	39536.9	36513.1		31731.1	31201.4	36682.6	35470.6	28079.8	32125.1	42014.2	33604.8	30754.8	36573.1	31142.3	34248.6	43279.8	43305.2	63320.5	42946.6	38200.1
Methyl Isobutyl Ketone	72661.5	64589.6	50256.2	64696.7	63971.2	29507.7	33909	33280.1	30805	32365.1	14144.3	16225.8	13388.7	11361.8	13567.7	25902.7	31534.9	26218.1	21375.9	29641.9	14069	11596.5	13814	10645.4	9464.8	19717.8	19429.8	18846.2	18968.5	19369.7	18707.4	21002.3	14444	18087.7	19336.8	15628.7	15022.8	17495.3	16619.3	18736.5	20025.1	22166.3	28829.1	20775.5	17429
2Z-Pentenol	7684.8	5059.6		7044.2	5575.6	7025.7	7267.6	4694.7	7067	4997.7	2677.6	3683.7	2992	3274.3	3140.5	6371.8	6913.5	6490.2	4732.3	5287.8						5731.6	4612.1	5365.5	3729.2	3677.4						3708.9	3221.7	2922.4	3286.3	3511.5	4607.4	5923.7	4005.3	3647.9	3619.7
Dimethyl disulfide	8125004.7	5567846.4	5699000.8	5755108.1	7148966.2	7424492.8	8320737.4	8430521.2	7343570.7	7447108.8	3223409.7	3348029.3	2993630.6	4583919.5	3380813.5	5860814.5	5199488.2	5297507.9	5012043.5	4794940.7	941520.6	806861.2	985870.9	940208.1	1093124.4	6743722.9	4017562.5	5541975.2	4548310.5	3765625.8	1883264.3	1470138.7	2231810.4	2209721	1598946.3	4036827	2944812.2	3453221.4	2694548.7	4343788.2	4333486.2	3347702.9	3583069.8	3920802.9	3681546.7
520	638963.8	567713.9	474816.8	547843.5	569061.5	497303.9	610307.9	535544.8	478367	577966.5	189580.7	219244.9	209327.6	182586.3	197130.5	1079278.9	1253260.9	1114237	868046.9	1125016.2	212384.5	191192.9	200580.6	305686.4	213700.8	603181.3	504039.9	1488357.7	490212.7	489025.7	572959.4	567653.8	436480.8	557273.6	505309.5	417343.4	359953.5	420074.3	361876.8	481831.3	254313.9	249804.1	251353.3	262236.1	215104
2,2,3-Trimethylpentane	279298.7	242240.8	201995.4	232256.1	238865.5	214766.5	266334.6	225300.7	202940.8	245255.9	77488.2	90307.2	83672.2	82394	78832.8	450535.6	518970.0	476882.5	373161.3	483949.1	88632.1	74629.6	85617.6	72432.4	63292.5	252703.3	222390.8	183569.7	206554.6	214110.2	241497.3	235394.4	192024.6	238073.9	211448.8	170672.7	154946.2	174807.2	150978.6	199213	103069.8	104039.6	104859.6	107721.7	88298
Pyridine																																													
3-Methyl-1-butanol	9902.8	8426	8240.4	7529.9	8478.9	7785.6	8002.2	10348.9	9739.7	9798.7	7481.2	10052.6	8403.1	8364.2	7170	9682	9140.4	9017.1	8242	9572.5	7136.1	7650.4	8536.4	8411.8	7954.3	10053.2	8748.3		10390.6	9064.8	8048.5	9641.0	7882.1	10871.4	8258.5	8065.7	5875.0	6807.3	6100.5	8308.6	7941.5	5569.4	6081.8	8371.9	5810.4
1-Pentanol	7094.4	7246.1	7394.5	6795	6765.2	7133.5	8541.7	9522.2	8754.2	10637	4633.2	8964.4	6503.4	5861.4	6209.7	7847.9	8385.0	8042.2	7129.7	7996.1	5646.7	6091.6	7780.6	7924.2	6856.5	8710.6	7754.8	9744.9	8507	7986.2	5723.7	8547.8	9230.5	9527.9	6365.5	8089	4404.0	5924.6	5129.8	6784.9	6051.8	4597.8	6447.6	6789.9	4955.3
2,2,5,5-Tetramethyltetrahydrofuran	16459.3	16729.1	12792.2	14544.7	15103.7	15444.6	16823.8	18032.5	16966.1	21723.8	14235.1	18566.6	14544.2	14160	13343	15395.1	18593.1	16906.3	12679.8	15912.8	10193.6	7770.4	11845.2	8372	7218.6	18812.5	16812.6	13507.6	17442.2	15706.6	13717.3	16446.8	17263.7	18350.5	13386	15040.5	9318.5	12697.2	10053.5	13927.1	12950.1	10425.6	11706.4	13762	10252.2
Toluene	25286.2	22206.8	25009.2	21524.1	26280.7	27371.3	25765.2	43330.1	35285.6	31895.4	27008.8	22038	24410.4	22824.9	23302.6	21754.5	23116.0	30662.5	37060.3	38328.4	27421	30683.6	35722.2	34531.8	41377.3	24593.7	30450.8	68100.5	54191	44470.5	21093.9	36508.5	40816.9	62053.5	34756.7	35519.1	35994.2	40340.3	50616.5	37847.8	21542.7	39776.6	38535.3	42368.6	38272.6
551																					72015.1	58147.5	62322.1	60735.8	45958.8																				
3-Hexanone	1265.2	1256.9		1209.1	1068.5	2534.9	2443.8	2559.1	2879.3	2329.8	1277.8	1171.8	1394.8	1150.5	1043.5	1316.1	1800.1	1436	1365.9	1792.8	1283.3		1115.2	1117.7		1840.2			1976.7	1878.7	1496.2	1283.9		1438.5		1599.2	1051.4	1473.5	1157.5	1996.4	1062.9	1296.9	1024.9	1340.1	
2,2,4-Trimethylhexane																																													
2-Hexanone	1514.4	1154	1668.3	1705.9	1984.4	2713	3616.2	4444.3	4221.5	4346.5						3497.3	4299.9	3870.8	3664.1	3700.7	3157.5	2769.1	3719	3300	3597	2482.2	1538.2	3834.2	2115.6	1959.7	2194.9	2694.6	2252	2073.3	2253.7	1406	2115.0	2328.9	2138.5	2404.1	1339	2026.8	1623.7	1584.9	
Cyclopentanone	41392	36370	33877	33801.1	40371.4	72147.7	80788.4	89583.9	70180.8	80583.7	34617.6	34910.6	37772.9	34207.5	33764.5	28959.8	35915.1	27509.6	30278.3	30276.2	27280.1	26733.2	30253.6	26867.6	24858	74221.9	63800.6	107485.1	60862.7	52033.7	40013.9	29963.8	37984.3	34707.3	43335.7	70244	46157.3	60876.5	53474.8	65713.6	42328.7	40253.6	46592.6	47257.6	38529
321	11329.6	5201.7	4248.3	9440.1	13903.5	3807.8	10270.4	16779	13360.6	17251.1	4810	7899.4	7645.4	9796.6	5577.9	13331.3	15403.5	14649.8	18735.9	15437.1	9951.9	9743.9	19692.4	10809	23130.2	17720.5	13647.1	104115.7	17893.1	21476.5	8822.6	8717.0	21257	20546.1	14951.3	17608.4	13727.5	17660.2	13676.8	21368.1	16670.1	13993.2	10743.8	19156.6	15264.7
Octane						8534.6	4259.3		7848.2	7199.4	8839.6	6986.9	12488.5	8461.4	10032.8																														
4-Methyl-3-penten-2-one	27313.4	21036.1	20562.5	22298.8	25678.3	19508	21255.2	20381.3	20486.8	20198.9	19824.6	14190	20012.3	14999.8	15100.9	182641	225923.7	194257.2	153511.9	205722.1	42018.2	40466.7	42658.2	35725.7	33498.9	25526.5	20673.6	16772.9	18662.8	18761.3	17682.1	17411.5	11573.5	17699.4	16424.1	15589.8	13811.3	18550.4	15750.2	19008.5	16446.6	15196.3	15809.5	17175.1	11401.6
Hexanal	2065.4	2971.6	4694.8	3863.8	4716.3	1698.3	2933.3	5316.8	4808.9	4514.4	1677.4	1880.5	3814.9	3600.4	2818.6	4165	4547.3	5539	3484.7	5944.3	4221.4	4475.2	7332.2	8931.7	5762.6	3083.6	1376.7		6399	4499.5	2719.4	2377.0	5502.2	4689.6	4908	3288.9	1648.5	5442.6	4916.4	5580.3	1896.2	1786.5	7058.3	5373.9	3804.4
2-Cyclopenten-1-one																																													
2,3-Butanediol 	12563.2	10647.6			9666.4	40846.6	46186.2		30228.1	32985.9											21791.7	36049.9	52450.3	38998	49789.3	36747.8	31005.1	46825.9		60698.3															
552																					16652.8	19378.1	20507	25980	22593.6																				
Butanoic acid 	1839.8	4339.4	65527.4	5944.9	7390.2	4261.1	4782.6	23195.1	8729.7	4500.4	4694.9	4679.2	3037.7	2722.1	3494.8	4686.8	3502.6	3934.1	10901	6604.9	2092.4	2765.7	2553.7	3486.9	6967.8	5214.5	4189.6		4781.9	5139.3	2676.9	2921.9	4355.2	2826.3		3217.7	2995.8	3736.5	4484.1	3628.4	2010.2	5302.4	4880.9	3705.7	4858.3
72							1920.3	3690.2	2224.3	2003						1041.7		1031.1	2346.5	1530.5			1300.6	1845.7	1869.9	1362.7	1889.3		4136.7	1502.9						1521	1812.1	1473.5	1348.2	2408.7	1901.9		1108.1	1468.7	1317.4
2,4-Dimethylheptane	4040.8	3260.5	3959.1	3023.2	3651.4	2790.9	3469.8	2471.1	3319.1	4453	3798.6	3687.2	3959.8	4073.7	3235.7	4045.7	3013.2	3650.7	3009.9	3987.3	3622.5	3018.9	3696.6	3700.7	4112.3	4574.9	4597.6		4562	3984.7	3072.8	3412.1	4133.2	4063.3	3563.6	2216.4	2592.9	4512.8	1989.8	3701.1	3370	6581.0	9160.6	3363.5	1799
36	335391.6	314038.7	226976.3	238582.8	253750.6	260041.3	237338.9	293610.1	283704	301484.4	300034.8	238001.7	300781.7	273453.2	256038.5	291973.8	295232.4	259479	252052.1	278225.3	242670.3	274708.4	280370.1	295328.2	301807.6	308037.5	381936.4	305480.8	292893	297617.9	260636.7	250785.1	363457.1	359641.5	297237.8	289316.6	284437.6	314468.9	307797	351312.9	329472	311981.3	342060	366780.6	263855.4
Ethyl 2-methylbutyrate	9024.8	8246.9	7674.7	5876.7	7245.8	5981.5	6390.8	8787.8	9272	9273.5	6991.8	6231.4	6900	6775.7	6246.5	7640.7	7190.9	8036.1	6836.8	8312.8	8396.9	8319.8	10026.9	10256	10820.5	7681.6	10510.0	9517.1	8900.7	8402.4	6534.9	6083.0	11064.7	10778.6	7583.2	4970.1	7592.1	9712.8	6525.2	7325.3	8291.3	9160.8	11274.7	9458.8	4182.1
Furfural	11109.3	16579.4	13529.4	31561.7	15235	23710.9	28495.3	38838.7	28806.2	8549	21859.2	3492.7	18075.4	15804.1	13266	8362	21386.5	9559.7	26982.9	16638.6	9790.2	5079.9	18016	24182.9	16225.8	8528.9	6562.5	45064.4	130745.2	11637.3	31020.5	17968.4	14338.1	12543.4	18924.5	24443.5	24108.6	10565.5	14878.1	31756.4	14468.6	22548.5	11191.6	15149.2	12732.1
2,4-Dimethyl-1-heptene	8197.2	6400.2	7115.3	7846.6	7461.6	5658.8	7088	7551.1	6339.2	7651.7	6424.2	7453.2	8246.2	8209.1	8069	6441.8	6878.4	7956.7	6527.9	7717.5	6058.1	4613.6	6705	5575.9	4929.1	5853.2	4944.4	5688.1	4698.8	4012.5	4911.2	5135.0	4807.9	5122.4	4170	2485.7	2537.6	3598.4	2779.4	3393.4	3340.8	3117.1	3481.1	3911.3	2627.3
2-Methyl-1H-Pyrrole	2172.2	2364.2	68552.1	4784.2	6942.8	5201.9	6055.7	28171.5	12639.5	8977.1	4283.9	3095	5989.8	6907.3	5094.8	3546.9	5293.0	7185.2	34006.5	10920.6	3168	4397.4	11155.7	8174.4	12878.5	11940.4	2874.5	307940.5	14005.8	11934.1	3366	3050.8	9786.2	11311.9	6793.8	4346.5	3560.1	10378.6	9082.5	11533.4	3639.7	3023.8	11924.7	12048.7	10362.1
4-Hydroxy-4-methyl-2-pentanone	9520.8	8173.8	11603.9	11183.8	15103.3	5337.3	9055.7		6264.8		7720.3		12405.5	5936.5	7993	25169	19558.2	29809	28483.3	32650.4	13286.6	12108.3	10137.8	7074.3	9017.3	13113.4	10580.6		14502.9	13727.4							4803.2	4507.6	3439.4						
Isovaleric acid	1408.5		15443.2	1297.9	1326.5			4454.9	2984.4	1903.7																																			
2,4,5-Trimethyloxazole 	13170.7	3220.3	13436.3	4259.7	2370.7	2729.6	2603.2	2968.4	2338.2	3105.9						12695.7	11554.6	26795.6	9958.7	3011.2	872654.9	943328.6	1069070.4	1395358.6	902595.4	4096.5	14847.6	20495.8	3948.7	3305.4	14476.1	13073.3	4215.3	3582.3	4128.2										
Crotonic acid	4823.7	5896.9	3849.5	5062.4	5109.2		5620.9	6017.5	7329.2	4244.6	4250.3	4634.9	6310	5189.9	6567.7	6325.5	3663.5	6755.7	5650.4	4033.4	4008.9	4412.6	5011.3	6977.8	5469.7	4171.6	4881.3		4732.6	4160.3	4483.5	4093.2	3805.2	6048.8	5394	3369	4811.6	6216.2	6304.5	8065.6	6885.3	5391.2	5301.2	7486.6	4929.8
5-Methyl-2-hexanone 	88063	81690.7	78330.4	72810.8	95164.5	11644.3	12347.5	19571.6	13799.2	14372.1	3462.1	2621.6	3897.5	3519.5	3191.4	38649.8	50437.1	42885.8	46402.6	51323.7	12582.2	16122.1	15741	15476.2	12699	11689.8	10302.7		10109.9	8792.2	10238.5	8926.5	8419.7	8378.1	8159.1	7355.1	6225.2	8958	7225.7	7828.5	3958.3	4868.3	4199.4	4366.7	3251.6
