tax_id	GeneID	Symbol	LocusTag	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Nomenclature_status	Other_designations	Modification_date	Feature_type
9	1246500	repA1	pLeuDn_01	-	-	-	-	putative replication-associated protein	protein-coding	-	-	-	-	20180129	-
9	1246501	repA2	pLeuDn_03	-	-	-	-	putative replication-associated protein	protein-coding	-	-	-	-	20180129	-
9	8655732	leuC	pleuBTgp2	-	-	-	-	3-isopropylmalate dehydratase large subunit; leucine biosinthesis	protein-coding	-	-	-	3-isopropylmalate dehydratase large subunit|leucine biosinthesis|truncated LeuC	20180129	-
9	8655733	leuD	pleuBTgp3	-	-	-	-	3-isopropylmalate dehydratase small subunit	protein-coding	-	-	-	3-isopropylmalate dehydratase small subunit|truncated LeuD	20180129	-
9	8655734	leuA	pleuBTgp4	-	-	-	-	2-isopropylmalate synthase	protein-coding	-	-	-	2-isopropylmalate synthase|truncated LeuA	20180129	-
9	8655735	repA	pleuBTgp5	-	-	-	-	replication-associated protein	protein-coding	-	-	-	replication-associated protein|truncated RepA	20180129	-
142	6741051	NEWENTRY	-	-	-	-	-	Record to support submission of GeneRIFs for a gene not in Gene (Spirochaeta turicatae.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).	other	-	-	-	-	20160818	-
158	1119924	rep	pTS1_p1	-	-	-	-	replication protein	protein-coding	-	-	-	replication protein|Rep	20130131	-
192	36107237	AMK58_RS00910	AMK58_RS00910	AMK58_00910	-	-	-	chromosomal replication initiator protein DnaA	protein-coding	-	-	-	-	20180309	-
192	36107256	AMK58_RS01005	AMK58_RS01005	AMK58_01005	-	-	-	integral membrane protein linked to a cation pump	protein-coding	-	-	-	-	20180309	-
192	36107257	AMK58_RS01010	AMK58_RS01010	AMK58_01010	-	-	-	cadmium-translocating P-type ATPase	protein-coding	-	-	-	-	20180309	-
192	36107723	AMK58_RS03305	AMK58_RS03305	AMK58_03300	-	-	-	divalent metal cation transporter	protein-coding	-	-	-	-	20180309	-
192	36107771	AMK58_RS03545	AMK58_RS03545	AMK58_03545	-	-	-	PQQ-dependent catabolism-associated CXXCW motif protein	protein-coding	-	-	-	-	20180309	-
192	36108135	AMK58_RS05360	AMK58_RS05360	AMK58_05355	-	-	-	cation diffusion facilitator transporter	protein-coding	-	-	-	-	20180309	-
192	36108136	AMK58_RS05365	AMK58_RS05365	AMK58_05360	-	-	-	cation transporter	protein-coding	-	-	-	-	20180309	-
192	36108231	AMK58_RS05840	AMK58_RS05840	AMK58_05830	-	-	-	replication-associated recombination protein A	protein-coding	-	-	-	-	20180309	-
192	36108401	AMK58_RS06690	AMK58_RS06690	AMK58_06680	-	-	-	divalent-cation tolerance protein CutA	protein-coding	-	-	-	-	20180309	-
192	36108536	AMK58_RS07370	AMK58_RS07370	AMK58_07355	-	-	-	replicative DNA helicase	protein-coding	-	-	-	-	20180309	-
192	36108709	AMK58_RS08235	AMK58_RS08235	AMK58_08220	-	-	-	cation transporter	protein-coding	-	-	-	-	20180309	-
192	36108720	hppA	AMK58_RS08290	AMK58_08275	-	-	-	sodium-translocating pyrophosphatase	protein-coding	-	-	-	-	20180309	-
192	36108746	AMK58_RS08420	AMK58_RS08420	AMK58_08405	-	-	-	translocation/assembly module TamB	protein-coding	-	-	-	-	20180309	-
192	36108785	AMK58_RS08610	AMK58_RS08610	AMK58_08600	-	-	-	Mn-containing catalase	protein-coding	-	-	-	-	20180309	-
192	36109106	AMK58_RS10210	AMK58_RS10210	AMK58_10190	-	-	-	flagellar basal body rod modification protein FlgD	protein-coding	-	-	-	-	20180309	-
192	36109237	AMK58_RS10860	AMK58_RS10860	AMK58_10840	-	-	-	LysE family translocator	protein-coding	-	-	-	-	20180309	-
192	36109275	AMK58_RS11045	AMK58_RS11045	AMK58_11025	-	-	-	cation acetate symporter	protein-coding	-	-	-	-	20180309	-
192	36109560	AMK58_RS12460	AMK58_RS12460	AMK58_12435	-	-	-	cation:proton antiporter	protein-coding	-	-	-	-	20180309	-
192	36109628	actP	AMK58_RS12800	AMK58_12765	-	-	-	cation acetate symporter	protein-coding	-	-	-	-	20180309	-
192	36109704	AMK58_RS13180	AMK58_RS13180	AMK58_13145	-	-	-	catalase	protein-coding	-	-	-	-	20180309	-
192	36109864	AMK58_RS13960	AMK58_RS13960	AMK58_13935	-	-	-	monovalent cation/H+ antiporter subunit A	protein-coding	-	-	-	-	20180521	-
192	36109866	AMK58_RS13970	AMK58_RS13970	AMK58_13945	-	-	-	monovalent cation/H+ antiporter subunit D	protein-coding	-	-	-	-	20180309	-
192	36109869	AMK58_RS13985	AMK58_RS13985	AMK58_13960	-	-	-	cation:proton antiporter	protein-coding	-	-	-	-	20180309	-
192	36109941	AMK58_RS14335	AMK58_RS14335	AMK58_14310	-	-	-	DNA replication and repair protein RecF	protein-coding	-	-	-	-	20180521	-
192	36110220	AMK58_RS15675	AMK58_RS15675	AMK58_15650	-	-	-	acetoin catabolism protein X	protein-coding	-	-	-	-	20180309	-
192	36110286	AMK58_RS15995	AMK58_RS15995	AMK58_15975	-	-	-	DNA replication protein	protein-coding	-	-	-	-	20180309	-
192	36110593	AMK58_RS17505	AMK58_RS17505	AMK58_17485	-	-	-	LysE family translocator	protein-coding	-	-	-	-	20180309	-
192	36110895	AMK58_RS18950	AMK58_RS18950	AMK58_18935	-	-	-	dicarboxylate/amino acid:cation symporter	protein-coding	-	-	-	-	20180309	-
192	36110923	AMK58_RS19085	AMK58_RS19085	AMK58_19070	-	-	-	aspartate carbamoyltransferase catalytic subunit	protein-coding	-	-	-	-	20180309	-
192	36110972	AMK58_RS19325	AMK58_RS19325	AMK58_19310	-	-	-	LysE family translocator	protein-coding	-	-	-	-	20180309	-
192	36111132	AMK58_RS20120	AMK58_RS20120	AMK58_20105	-	-	-	copper-translocating P-type ATPase	protein-coding	-	-	-	-	20180309	-
192	36111138	AMK58_RS20150	AMK58_RS20150	AMK58_20135	-	-	-	trimeric intracellular cation channel family protein	protein-coding	-	-	-	-	20180309	-
192	36111249	actP	AMK58_RS20690	AMK58_20675	-	-	-	cation acetate symporter	protein-coding	-	-	-	-	20180309	-
192	36111270	AMK58_RS20795	AMK58_RS20795	AMK58_20780	-	-	-	heavy metal translocating P-type ATPase	protein-coding	-	-	-	-	20180309	-
192	36111410	AMK58_RS21475	AMK58_RS21475	AMK58_21460	-	-	-	plasmid replication protein	protein-coding	-	-	-	-	20180309	-
192	36111609	AMK58_RS22475	AMK58_RS22475	AMK58_22470	-	-	-	putative DNA modification/repair radical SAM protein	protein-coding	-	-	-	-	20180309	-
192	36112118	AMK58_RS24985	AMK58_RS24985	AMK58_24980	-	-	-	twin-arginine translocation pathway signal	protein-coding	-	-	-	-	20180309	-
192	36112187	AMK58_RS25315	AMK58_RS25315	AMK58_25310	-	-	-	flagellar basal body rod modification protein FlgD	protein-coding	-	-	-	-	20180309	-
192	36112193	AMK58_RS25335	AMK58_RS25335	AMK58_25330	-	-	-	nitrate reductase catalytic subunit NapA	protein-coding	-	-	-	-	20180309	-
192	36112254	AMK58_RS25635	AMK58_RS25635	AMK58_25635	-	-	-	plasmid replication initiator protein	protein-coding	-	-	-	-	20180309	-
192	36112357	AMK58_RS26145	AMK58_RS26145	AMK58_26145	-	-	-	protein-methionine-sulfoxide reductase catalytic subunit MsrP	protein-coding	-	-	-	-	20180309	-
192	36112633	AMK58_RS27495	AMK58_RS27495	AMK58_27495	-	-	-	catalase	protein-coding	-	-	-	-	20180309	-
192	36112817	AMK58_RS28390	AMK58_RS28390	AMK58_28385	-	-	-	RepB family plasmid replication initiator protein	protein-coding	-	-	-	-	20180309	-
195	3204984	pCC31p05	pCC31p05	-	-	-	-	putative replication protein	protein-coding	-	-	-	putative replication protein|repA	20170410	-
195	31368336	ATE51_RS00005	ATE51_RS00005	ATE51_00002	-	-	-	chromosomal replication initiation protein DnaA	protein-coding	-	-	-	-	20171025	-
195	31368343	actP	ATE51_RS00040	ATE51_00016	-	-	-	cation acetate symporter	protein-coding	-	-	-	-	20170412	-
195	31368381	flgD	ATE51_RS00230	ATE51_00090	-	-	-	flagellar basal body rod modification protein FlgD	protein-coding	-	-	-	-	20171007	-
195	31368719	ATE51_RS01960	ATE51_RS01960	ATE51_00790	-	-	-	catalase	protein-coding	-	-	-	-	20181013	-
195	31368774	ATE51_RS02235	ATE51_RS02235	ATE51_00902	-	-	-	posttranslational flagellin modification protein B	protein-coding	-	-	-	-	20170412	-
195	31368786	ATE51_RS02315	ATE51_RS02315	ATE51_00932	-	-	-	flagellin modification protein, PseA	protein-coding	-	-	-	-	20171025	-
195	31368958	ATE51_RS03180	ATE51_RS03180	ATE51_01276	-	-	-	cation transporter	protein-coding	-	-	-	-	20171025	-
195	31368959	ATE51_RS03185	ATE51_RS03185	ATE51_01278	-	-	-	heavy metal transport/detoxification protein	protein-coding	-	-	-	-	20170412	-
195	31368960	ATE51_RS03190	ATE51_RS03190	ATE51_01280	-	-	-	copper-translocating P-type ATPase	protein-coding	-	-	-	-	20170412	-
195	31368963	ATE51_RS03205	ATE51_RS03205	ATE51_01286	-	-	-	copper-translocating P-type ATPase	protein-coding	-	-	-	-	20170411	-
195	31369236	ATE51_RS04600	ATE51_RS04600	ATE51_01852	-	-	-	cation transporter	protein-coding	-	-	-	-	20180124	-
195	31369660	ATE51_RS06770	ATE51_RS06770	ATE51_02750	-	-	-	nucleobase:cation symporter	protein-coding	-	-	-	-	20171216	-
195	31369827	ATE51_RS07635	ATE51_RS07635	ATE51_03094	-	-	-	replicative DNA helicase	protein-coding	-	-	-	-	20180124	-
195	31370354	ATE51_RS10285	ATE51_RS10285	ATE51_04176	-	-	-	cation ABC transporter ATP-binding protein	protein-coding	-	-	-	-	20171025	-
195	31370385	tolB	ATE51_RS10450	ATE51_04240	-	-	-	translocation protein TolB	protein-coding	-	-	-	-	20171025	-
195	31370496	ATE51_RS11020	ATE51_RS11020	ATE51_05032	-	-	-	RepE replication protein	protein-coding	-	-	-	-	20171216	-
197	1343081	RepA	pCJ419_p2	-	-	-	-	putative replication protein A	protein-coding	-	-	-	-	20180129	-
197	1343082	RepB	pCJ419_p3	-	-	-	-	putative replication protein B	protein-coding	-	-	-	-	20180129	-
197	4083180	repC	pCJ1170_02	-	-	-	-	replication initiation protein	protein-coding	-	-	-	-	20160910	-
197	4083182	repA	pCJ1170_01	-	-	-	-	replication protein	protein-coding	-	-	-	replication protein|RepA	20150709	-
197	4362676	repA	pCJ01p1	-	-	-	-	Rep A	protein-coding	-	-	-	Rep A|putative replication protein A	20180129	-
197	4362677	repB	pCJ01p2	-	-	-	-	RepB	protein-coding	-	-	-	RepB|replication protein B	20180129	-
197	15842671	repB	ST197_p1	-	-	-	-	RepB	protein-coding	-	-	-	RepB|replication initiation protein	20160903	-
197	15842673	repA	ST197_p3	-	-	-	-	replication protein	protein-coding	-	-	-	replication protein|RepA	20180129	-
199	28661665	CCON33237_RS00005	CCON33237_RS00005	CCON33237_0001	-	-	-	chromosomal replication initiation protein DnaA	protein-coding	-	-	-	-	20170908	-
199	28661672	CCON33237_RS00040	CCON33237_RS00040	CCON33237_0008	-	-	-	flagellar basal body rod modification protein FlgD	protein-coding	-	-	-	-	20170906	-
199	28661735	CCON33237_RS00360	CCON33237_RS00360	CCON33237_0071	-	-	-	tRNA uridine 5-carboxymethylaminomethyl modification protein	protein-coding	-	-	-	-	20160907	-
199	28661835	CCON33237_RS00860	CCON33237_RS00860	CCON33237_0167	-	-	-	cation ABC transporter substrate-binding protein	protein-coding	-	-	-	-	20160906	-
199	28662028	CCON33237_RS01830	CCON33237_RS01830	CCON33237_0359	-	-	-	tRNA uridine 5-carboxymethylaminomethyl modification protein	protein-coding	-	-	-	-	20160907	-
199	28662130	tolB	CCON33237_RS02340	CCON33237_0460	-	-	-	translocation protein TolB	protein-coding	-	-	-	-	20170908	-
199	28662170	CCON33237_RS02540	CCON33237_RS02540	CCON33237_0500	-	-	-	heavy metal transport/detoxification protein	protein-coding	-	-	-	-	20160907	-
199	28662171	CCON33237_RS02545	CCON33237_RS02545	CCON33237_0501	-	-	-	copper-translocating P-type ATPase	protein-coding	-	-	-	-	20160907	-
199	28662428	CCON33237_RS03830	CCON33237_RS03830	CCON33237_0754	-	-	-	tRNA modification GTPase	protein-coding	-	-	-	-	20160907	-
199	28662499	CCON33237_RS04185	CCON33237_RS04185	CCON33237_0823	-	-	-	replication protein	protein-coding	-	-	-	-	20160907	-
199	28662549	CCON33237_RS04435	CCON33237_RS04435	CCON33237_0873	-	-	-	copper-translocating P-type ATPase	protein-coding	-	-	-	-	20160907	-
199	28662694	CCON33237_RS05160	CCON33237_RS05160	CCON33237_1017	-	-	-	acetolactate synthase catalytic subunit	protein-coding	-	-	-	-	20160907	-
199	28662829	CCON33237_RS05835	CCON33237_RS05835	CCON33237_1155	-	-	-	heavy metal translocating P-type ATPase	protein-coding	-	-	-	-	20170410	-
199	28662848	CCON33237_RS05930	CCON33237_RS05930	CCON33237_1174	-	-	-	cation-efflux pump	protein-coding	-	-	-	-	20170908	-
199	28662867	CCON33237_RS06025	CCON33237_RS06025	CCON33237_1193	-	-	-	replicative DNA helicase	protein-coding	-	-	-	-	20160907	-
