"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","com_341.fna","com_738.fna","com_862.fna","com_876.fna","com_900.fna","com_908.fna","com_947.fna","com_962.fna","com_JB.fna"
"pat_4","","Putative phenylalanine aminotransferase","9","9","1","1","6460","","","","1085","1202","1189","GOJPHPBD_06825","DEIPBNHI_06088","LBLIGOHA_03769","IIFCLKFN_04292","BOFCGCOL_05073","KJABKPCK_04598","KLLDKJAP_05743","HHDJLLAI_06835","IFEKPJDH_04836"
"glxK","","Glycerate 3-kinase","9","9","1","1","6470","","","","1181","1181","1181","GOJPHPBD_06835","DEIPBNHI_06078","LBLIGOHA_03779","IIFCLKFN_04282","BOFCGCOL_05083","KJABKPCK_04608","KLLDKJAP_05753","HHDJLLAI_06845","IFEKPJDH_04846"
"prsW","","Protease PrsW","9","9","1","1","6488","","","","1196","1286","1276","GOJPHPBD_06854","DEIPBNHI_06059","LBLIGOHA_03798","IIFCLKFN_04263","BOFCGCOL_05102","KJABKPCK_04046","KLLDKJAP_05772","HHDJLLAI_06864","IFEKPJDH_04865"
"bphF","","4-hydroxy-2-oxovalerate aldolase","9","9","1","1","6492","","","","788","788","788","GOJPHPBD_06858","DEIPBNHI_06054","LBLIGOHA_03800","IIFCLKFN_04259","BOFCGCOL_05104","KJABKPCK_04042","KLLDKJAP_05776","HHDJLLAI_06868","IFEKPJDH_04869"
"yhjE_7","","Inner membrane metabolite transport protein YhjE","9","9","1","1","6498","","","","1322","1418","1344","GOJPHPBD_06864","DEIPBNHI_06048","LBLIGOHA_03806","IIFCLKFN_04253","BOFCGCOL_05110","KJABKPCK_04036","KLLDKJAP_05782","HHDJLLAI_06874","IFEKPJDH_04875"
"group_1010","","hypothetical protein","9","9","1","1","6507","","","","1721","1727","1723","GOJPHPBD_06868","DEIPBNHI_06044","LBLIGOHA_03810","IIFCLKFN_04249","BOFCGCOL_05114","KJABKPCK_04032","KLLDKJAP_05786","HHDJLLAI_06878","IFEKPJDH_04879"
"desK_8","","Sensor histidine kinase DesK","9","9","1","1","6425","","","","1007","1400","1356","GOJPHPBD_06925","DEIPBNHI_06121","LBLIGOHA_03734","IIFCLKFN_04325","BOFCGCOL_05040","KJABKPCK_04565","KLLDKJAP_05710","HHDJLLAI_06802","IFEKPJDH_04803"
"yfiY_5","","putative siderophore-binding lipoprotein YfiY","9","9","1","1","6421","","","","1028","1028","1028","GOJPHPBD_06929","DEIPBNHI_06125","LBLIGOHA_03730","IIFCLKFN_04329","BOFCGCOL_05036","KJABKPCK_04561","KLLDKJAP_05706","HHDJLLAI_06797","IFEKPJDH_04799"
"proP_11","","Ectoine/proline transporter ProP","9","9","1","1","9067","","","","1418","1616","1539","GOJPHPBD_06967","DEIPBNHI_05168","LBLIGOHA_04318","IIFCLKFN_06352","BOFCGCOL_06915","KJABKPCK_05421","KLLDKJAP_06563","HHDJLLAI_05649","IFEKPJDH_03597"
"cpg2_2","","Carboxypeptidase G2","9","9","1","1","4304","","","","1118","1118","1118","GOJPHPBD_07009","DEIPBNHI_06198","LBLIGOHA_03657","IIFCLKFN_04402","BOFCGCOL_04964","KJABKPCK_04488","KLLDKJAP_05634","HHDJLLAI_06723","IFEKPJDH_06473"
"dnaX_3","","DNA polymerase III subunit gamma/tau","9","9","1","1","4296","","","","1157","1157","1157","GOJPHPBD_07010","DEIPBNHI_06197","LBLIGOHA_03658","IIFCLKFN_04401","BOFCGCOL_04965","KJABKPCK_04489","KLLDKJAP_05636","HHDJLLAI_06724","IFEKPJDH_06474"
"group_1020","","hypothetical protein","9","9","1","1","6388","","","","668","668","668","GOJPHPBD_07051","DEIPBNHI_06155","LBLIGOHA_03701","IIFCLKFN_04359","BOFCGCOL_05006","KJABKPCK_04530","KLLDKJAP_05677","HHDJLLAI_06765","IFEKPJDH_04767"
"praI","","4-hydroxybenzoate 3-monooxygenase (NAD(P)H)","9","9","1","1","6323","","","","1184","1184","1184","GOJPHPBD_07112","DEIPBNHI_06008","LBLIGOHA_03833","IIFCLKFN_04209","BOFCGCOL_05150","KJABKPCK_03998","KLLDKJAP_05820","HHDJLLAI_06273","IFEKPJDH_04916"
"yhjE_8","","Inner membrane metabolite transport protein YhjE","9","9","1","1","6297","","","","1436","1442","1441","GOJPHPBD_07118","DEIPBNHI_06002","LBLIGOHA_03839","IIFCLKFN_04203","BOFCGCOL_05156","KJABKPCK_03992","KLLDKJAP_05826","HHDJLLAI_06279","IFEKPJDH_04922"
"sauU_4","","putative sulfoacetate transporter SauU","9","9","1","1","6207","","","","989","1277","1172","GOJPHPBD_07154","DEIPBNHI_05950","LBLIGOHA_06505","IIFCLKFN_04150","BOFCGCOL_05209","KJABKPCK_03931","KLLDKJAP_05877","HHDJLLAI_06316","IFEKPJDH_04961"
"lldR_4","","Putative L-lactate dehydrogenase operon regulatory protein","9","9","1","1","6203","","","","773","773","773","GOJPHPBD_07158","DEIPBNHI_05946","LBLIGOHA_06509","IIFCLKFN_04146","BOFCGCOL_05213","KJABKPCK_03927","KLLDKJAP_05881","HHDJLLAI_06320","IFEKPJDH_04965"
"feaB_3","","Phenylacetaldehyde dehydrogenase","9","9","1","1","6201","","","","1352","1352","1352","GOJPHPBD_07160","DEIPBNHI_05944","LBLIGOHA_06511","IIFCLKFN_04144","BOFCGCOL_05215","KJABKPCK_03925","KLLDKJAP_05883","HHDJLLAI_06322","IFEKPJDH_04967"
"group_1032","","hypothetical protein","9","9","1","1","6189","","","","965","986","967","GOJPHPBD_07171","DEIPBNHI_05933","LBLIGOHA_06522","IIFCLKFN_04133","BOFCGCOL_05226","KJABKPCK_06603","KLLDKJAP_05894","HHDJLLAI_06333","IFEKPJDH_04978"
"eamA_2","","putative amino-acid metabolite efflux pump","9","9","1","1","6187","","","","923","998","954","GOJPHPBD_07173","DEIPBNHI_05931","LBLIGOHA_06524","IIFCLKFN_04131","BOFCGCOL_05228","KJABKPCK_06601","KLLDKJAP_05896","HHDJLLAI_06335","IFEKPJDH_04980"
"group_1034","","hypothetical protein","9","9","1","1","6184","","","","143","545","499","GOJPHPBD_07176","DEIPBNHI_05928","LBLIGOHA_06527","IIFCLKFN_04128","BOFCGCOL_05231","KJABKPCK_06598","KLLDKJAP_05899","HHDJLLAI_06338","IFEKPJDH_04983"
"ideR_5","","Iron-dependent repressor IdeR","9","9","1","1","7991","","","","356","650","584","GOJPHPBD_07207","DEIPBNHI_07502","LBLIGOHA_06834","IIFCLKFN_05263","BOFCGCOL_06870","KJABKPCK_07142","KLLDKJAP_07237","HHDJLLAI_06547","IFEKPJDH_05473"
"group_1036","","hypothetical protein","9","9","1","1","7989","","","","1541","1541","1541","GOJPHPBD_07209","DEIPBNHI_07504","LBLIGOHA_06836","IIFCLKFN_05265","BOFCGCOL_06872","KJABKPCK_07144","KLLDKJAP_07239","HHDJLLAI_06545","IFEKPJDH_05471"
"argH_2","","Argininosuccinate lyase","9","9","1","1","5230","","","","1421","1421","1421","GOJPHPBD_07278","DEIPBNHI_07206","LBLIGOHA_07370","IIFCLKFN_07088","BOFCGCOL_06879","KJABKPCK_07201","KLLDKJAP_06094","HHDJLLAI_07344","IFEKPJDH_06334"
"group_1046","","hypothetical protein","9","9","1","1","5415","","","","677","677","677","GOJPHPBD_07312","DEIPBNHI_07182","LBLIGOHA_06558","IIFCLKFN_06281","BOFCGCOL_07252","KJABKPCK_06883","KLLDKJAP_06373","HHDJLLAI_06999","IFEKPJDH_07013"
"group_1047","","hypothetical protein","9","9","1","14","1","","","Investigate","314","1274","1157","GOJPHPBD_07350","DEIPBNHI_07393","LBLIGOHA_07406","IIFCLKFN_07301","BOFCGCOL_07231","KJABKPCK_07223","KLLDKJAP_07331","HHDJLLAI_07323","IFEKPJDH_05611"
"group_105","","hypothetical protein","9","9","1","1","6038","","","","2087","2297","2217","GOJPHPBD_04432","DEIPBNHI_07054","LBLIGOHA_05193","IIFCLKFN_04566","BOFCGCOL_06863","KJABKPCK_05936","KLLDKJAP_06782","HHDJLLAI_05815","IFEKPJDH_06951"
"alkA_3","","DNA-3-methyladenine glycosylase","9","9","1","2","1968","","","","482","653","634","GOJPHPBD_07446","DEIPBNHI_09616","LBLIGOHA_09554","IIFCLKFN_08943","BOFCGCOL_07559","KJABKPCK_09305","KLLDKJAP_07544","HHDJLLAI_09475","IFEKPJDH_07546"
"ydaF_6","","Putative ribosomal N-acetyltransferase YdaF","9","9","1","2","1910","","","","404","548","468","GOJPHPBD_07491","DEIPBNHI_08240","LBLIGOHA_09607","IIFCLKFN_08892","BOFCGCOL_07605","KJABKPCK_09253","KLLDKJAP_07596","HHDJLLAI_09048","IFEKPJDH_07724"
"tarJ","","Ribulose-5-phosphate reductase 1","9","9","1","2","1891","","","","872","1028","1010","GOJPHPBD_07506","DEIPBNHI_08224","LBLIGOHA_08055","IIFCLKFN_08878","BOFCGCOL_07620","KJABKPCK_09238","KLLDKJAP_07611","HHDJLLAI_09033","IFEKPJDH_07710"
"group_1059","","L-methionine sulfoximine/L-methionine sulfone acetyltransferase","9","9","1","2","1884","","","","503","503","503","GOJPHPBD_07512","DEIPBNHI_08217","LBLIGOHA_08062","IIFCLKFN_08872","BOFCGCOL_07626","KJABKPCK_09231","KLLDKJAP_07619","HHDJLLAI_09026","IFEKPJDH_07704"
"yccS","","Inner membrane protein YccS","9","9","1","2","1854","","","","1427","1877","1827","GOJPHPBD_07538","DEIPBNHI_08191","LBLIGOHA_08088","IIFCLKFN_08846","BOFCGCOL_07652","KJABKPCK_09205","KLLDKJAP_07646","HHDJLLAI_09000","IFEKPJDH_07678"
"fhuD_3","","Iron(3+)-hydroxamate-binding protein FhuD","9","9","1","2","1832","","","","935","935","935","GOJPHPBD_07558","DEIPBNHI_08533","LBLIGOHA_08107","IIFCLKFN_08827","BOFCGCOL_07671","KJABKPCK_09186","KLLDKJAP_07665","HHDJLLAI_08981","IFEKPJDH_07658"
"hisH_3","","Imidazole glycerol phosphate synthase subunit HisH","9","9","1","2","1828","","","","575","575","575","GOJPHPBD_07562","DEIPBNHI_08537","LBLIGOHA_08111","IIFCLKFN_08823","BOFCGCOL_07675","KJABKPCK_09182","KLLDKJAP_07669","HHDJLLAI_08977","IFEKPJDH_07654"
"hisB_3","","Imidazoleglycerol-phosphate dehydratase","9","9","1","2","1827","","","","578","578","578","GOJPHPBD_07563","DEIPBNHI_08538","LBLIGOHA_08112","IIFCLKFN_08822","BOFCGCOL_07676","KJABKPCK_09181","KLLDKJAP_07670","HHDJLLAI_08976","IFEKPJDH_07653"
"group_1065","","hypothetical protein","9","9","1","2","1764","","","","473","473","473","GOJPHPBD_07622","DEIPBNHI_10062","LBLIGOHA_08171","IIFCLKFN_08766","BOFCGCOL_07736","KJABKPCK_07804","KLLDKJAP_07729","HHDJLLAI_08917","IFEKPJDH_07754"
"nirC","","Nitrite transporter NirC","9","9","1","2","1758","","","","677","782","770","GOJPHPBD_07627","DEIPBNHI_10057","LBLIGOHA_08176","IIFCLKFN_08764","BOFCGCOL_07741","KJABKPCK_07799","KLLDKJAP_07735","HHDJLLAI_08912","IFEKPJDH_07763"
"nasD","","Nitrite reductase [NAD(P)H]","9","9","1","2","1751","","","","2267","2405","2374","GOJPHPBD_07631","DEIPBNHI_10052","LBLIGOHA_08181","IIFCLKFN_08760","BOFCGCOL_07745","KJABKPCK_07795","KLLDKJAP_07740","HHDJLLAI_08907","IFEKPJDH_07767"
"group_1071","","hypothetical protein","9","9","1","2","1648","","","","287","329","301","GOJPHPBD_07726","DEIPBNHI_08604","LBLIGOHA_08277","IIFCLKFN_09367","BOFCGCOL_07840","KJABKPCK_07700","KLLDKJAP_09268","HHDJLLAI_08812","IFEKPJDH_07863"
"mleN_4","","Malate-2H(+)/Na(+)-lactate antiporter","9","9","1","2","1633","","","","1391","1397","1394","GOJPHPBD_07741","DEIPBNHI_08589","LBLIGOHA_08292","IIFCLKFN_09382","BOFCGCOL_07855","KJABKPCK_07685","KLLDKJAP_09738","HHDJLLAI_08797","IFEKPJDH_07878"
"cysA_5","","Sulfate/thiosulfate import ATP-binding protein CysA","9","9","1","2","1606","","","","605","605","605","GOJPHPBD_07763","DEIPBNHI_09844","LBLIGOHA_08314","IIFCLKFN_09404","BOFCGCOL_07878","KJABKPCK_07662","KLLDKJAP_09760","HHDJLLAI_08774","IFEKPJDH_07900"
"group_1076","","putative protein","9","9","1","2","2080","","","","242","1133","1034","GOJPHPBD_07774","DEIPBNHI_08028","LBLIGOHA_09764","IIFCLKFN_10140","BOFCGCOL_07463","KJABKPCK_09591","KLLDKJAP_07897","HHDJLLAI_09139","IFEKPJDH_09891"
"yycB_6","","putative transporter YycB","9","9","1","2","2092","","","","1193","1193","1193","GOJPHPBD_07784","DEIPBNHI_08018","LBLIGOHA_09774","IIFCLKFN_09799","BOFCGCOL_07453","KJABKPCK_09601","KLLDKJAP_07887","HHDJLLAI_09129","IFEKPJDH_09881"
"larE_2","","Pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase","9","9","1","2","2107","","","","824","824","824","GOJPHPBD_07795","DEIPBNHI_08006","LBLIGOHA_09785","IIFCLKFN_09787","BOFCGCOL_07442","KJABKPCK_09612","KLLDKJAP_07876","HHDJLLAI_09117","IFEKPJDH_09870"
"larB_2","","Pyridinium-3,5-biscarboxylic acid mononucleotide synthase","9","9","1","2","2108","","","","758","758","758","GOJPHPBD_07796","DEIPBNHI_08005","LBLIGOHA_09786","IIFCLKFN_09786","BOFCGCOL_07441","KJABKPCK_09613","KLLDKJAP_07875","HHDJLLAI_09116","IFEKPJDH_09869"
"group_1080","","putative oxidoreductase","9","9","1","2","2119","","","","1139","1220","1211","GOJPHPBD_07807","DEIPBNHI_07994","LBLIGOHA_09797","IIFCLKFN_09775","BOFCGCOL_07430","KJABKPCK_09624","KLLDKJAP_07864","HHDJLLAI_09105","IFEKPJDH_09858"
"group_1081","","hypothetical protein","9","9","1","2","2128","","","","428","428","428","GOJPHPBD_07814","DEIPBNHI_07987","LBLIGOHA_09804","IIFCLKFN_09768","BOFCGCOL_07423","KJABKPCK_09631","KLLDKJAP_07857","HHDJLLAI_09098","IFEKPJDH_09851"
"ugpQ_6","","Glycerophosphodiester phosphodiesterase, cytoplasmic","9","9","1","2","2129","","","","746","746","746","GOJPHPBD_07815","DEIPBNHI_07986","LBLIGOHA_09805","IIFCLKFN_09767","BOFCGCOL_07422","KJABKPCK_09632","KLLDKJAP_07856","HHDJLLAI_09097","IFEKPJDH_09850"
"lytM_3","","Glycyl-glycine endopeptidase LytM","9","9","1","2","2130","","","","1127","1289","1251","GOJPHPBD_07816","DEIPBNHI_07985","LBLIGOHA_09806","IIFCLKFN_09766","BOFCGCOL_07421","KJABKPCK_09633","KLLDKJAP_07855","HHDJLLAI_09096","IFEKPJDH_09849"
"tenA_5","","Aminopyrimidine aminohydrolase","9","9","1","4","69","","","","689","689","689","GOJPHPBD_07823","DEIPBNHI_09453","LBLIGOHA_10156","IIFCLKFN_10108","BOFCGCOL_10113","KJABKPCK_09835","KLLDKJAP_09873","HHDJLLAI_10265","IFEKPJDH_09191"
"yfmJ_1","","Putative NADP-dependent oxidoreductase YfmJ","9","9","1","2","1518","","","","980","1007","1004","GOJPHPBD_07960","DEIPBNHI_09765","LBLIGOHA_08378","IIFCLKFN_10058","BOFCGCOL_07941","KJABKPCK_07599","KLLDKJAP_09824","HHDJLLAI_08710","IFEKPJDH_07965"
"rbsD_1","","D-ribose pyranase","9","9","1","2","4074","","","","389","389","389","GOJPHPBD_07996","DEIPBNHI_10392","LBLIGOHA_08545","IIFCLKFN_08631","BOFCGCOL_08831","KJABKPCK_08248","KLLDKJAP_08096","HHDJLLAI_09734","IFEKPJDH_08677"
"group_1088","","hypothetical protein","9","9","1","2","4033","","","","593","698","663","GOJPHPBD_08033","DEIPBNHI_08718","LBLIGOHA_08508","IIFCLKFN_08668","BOFCGCOL_08794","KJABKPCK_08209","KLLDKJAP_08059","HHDJLLAI_09337","IFEKPJDH_08792"
"group_1089","","hypothetical protein","9","9","1","2","1001","","","","605","605","605","GOJPHPBD_08099","DEIPBNHI_07927","LBLIGOHA_09141","IIFCLKFN_09288","BOFCGCOL_09944","KJABKPCK_09927","KLLDKJAP_09445","HHDJLLAI_09917","IFEKPJDH_09255"
"ftsW_4","","putative peptidoglycan glycosyltransferase FtsW","9","9","1","2","1023","","","","1085","1181","1159","GOJPHPBD_08117","DEIPBNHI_07909","LBLIGOHA_09123","IIFCLKFN_09306","BOFCGCOL_07969","KJABKPCK_09945","KLLDKJAP_09427","HHDJLLAI_09899","IFEKPJDH_09273"
"add_3","","Adenosine deaminase","9","9","1","2","1027","","","","974","986","976","GOJPHPBD_08121","DEIPBNHI_07907","LBLIGOHA_09121","IIFCLKFN_09308","BOFCGCOL_07971","KJABKPCK_09947","KLLDKJAP_09560","HHDJLLAI_09897","IFEKPJDH_09275"
"cysH_3","","Phosphoadenosine phosphosulfate reductase","9","9","1","2","1036","","","","728","740","729","GOJPHPBD_08130","DEIPBNHI_07898","LBLIGOHA_09112","IIFCLKFN_09317","BOFCGCOL_07980","KJABKPCK_09956","KLLDKJAP_09569","HHDJLLAI_09888","IFEKPJDH_09285"
"group_1096","","hypothetical protein","9","9","1","2","3472","","","","383","629","601","GOJPHPBD_08174","DEIPBNHI_08445","LBLIGOHA_10042","IIFCLKFN_09681","BOFCGCOL_09199","KJABKPCK_09443","KLLDKJAP_09346","HHDJLLAI_08125","IFEKPJDH_10200"
"rsmC_4","","Ribosomal RNA small subunit methyltransferase C","9","9","1","2","408","","","","608","608","608","GOJPHPBD_08219","DEIPBNHI_09669","LBLIGOHA_09945","IIFCLKFN_07888","BOFCGCOL_09911","KJABKPCK_09491","KLLDKJAP_07443","HHDJLLAI_09417","IFEKPJDH_09927"
"pabA_2","","Aminodeoxychorismate/anthranilate synthase component 2","9","9","1","2","4095","","","","596","596","596","GOJPHPBD_08245","DEIPBNHI_10378","LBLIGOHA_08559","IIFCLKFN_08617","BOFCGCOL_08847","KJABKPCK_08263","KLLDKJAP_08110","HHDJLLAI_09720","IFEKPJDH_08656"
"group_1101","","hypothetical protein","9","9","1","2","4105","","","","347","347","347","GOJPHPBD_08255","DEIPBNHI_10368","LBLIGOHA_08569","IIFCLKFN_07963","BOFCGCOL_08584","KJABKPCK_08273","KLLDKJAP_08120","HHDJLLAI_09710","IFEKPJDH_08646"
"lysC","","Aspartokinase 2","9","9","1","2","4116","","","","695","1130","1080","GOJPHPBD_08265","DEIPBNHI_10358","LBLIGOHA_08579","IIFCLKFN_07973","BOFCGCOL_08574","KJABKPCK_08283","KLLDKJAP_08130","HHDJLLAI_09700","IFEKPJDH_08636"
"acyP","","Acylphosphatase","9","9","1","2","4126","","","","269","269","269","GOJPHPBD_08275","DEIPBNHI_10348","LBLIGOHA_08589","IIFCLKFN_07984","BOFCGCOL_08564","KJABKPCK_08293","KLLDKJAP_08140","HHDJLLAI_09690","IFEKPJDH_08626"
