"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Brevi_341_13.fa","Brevi_738_8.fa","Brevi_862_7.fa","Brevi_876_7.fa","Brevi_900_6.fa","Brevi_908_7.fa","Brevi_947_7.fa","Brevi_962_8.fa","Brevi_JB5.fa"
"group_100","","hypothetical protein","9","9","1","56","4557","","","","425","431","429","AGEJDLBK_02436","MCCDGJGB_03091","GGCDANDK_03066","IHGJPHMH_03503","LDOPIMGM_03163","EBMLHIBA_03260","IOFEINNK_02530","AGDBFNGI_03345","ADMANBBD_02368"
"msuE","","FMN reductase (NADPH)","9","9","1","56","3261","","","","710","710","710","AGEJDLBK_02119","MCCDGJGB_00944","GGCDANDK_00572","IHGJPHMH_02344","LDOPIMGM_03365","EBMLHIBA_01501","IOFEINNK_00659","AGDBFNGI_02817","ADMANBBD_00220"
"hprA","","Glycerate dehydrogenase","9","9","1","56","3252","","","","941","941","941","AGEJDLBK_02128","MCCDGJGB_00935","GGCDANDK_00563","IHGJPHMH_02335","LDOPIMGM_03361","EBMLHIBA_01492","IOFEINNK_00663","AGDBFNGI_02808","ADMANBBD_00229"
"group_1002","","hypothetical protein","9","9","1","56","3240","","","","758","758","758","AGEJDLBK_02140","MCCDGJGB_00923","GGCDANDK_00551","IHGJPHMH_02323","LDOPIMGM_03349","EBMLHIBA_01480","IOFEINNK_00675","AGDBFNGI_02796","ADMANBBD_00241"
"leuB","","3-isopropylmalate dehydrogenase","9","9","1","56","3238","","","","1037","1037","1037","AGEJDLBK_02142","MCCDGJGB_00921","GGCDANDK_00549","IHGJPHMH_02321","LDOPIMGM_03347","EBMLHIBA_01478","IOFEINNK_00677","AGDBFNGI_02794","ADMANBBD_00243"
"group_1007","","hypothetical protein","9","9","1","56","5969","","","","578","578","578","AGEJDLBK_02171","MCCDGJGB_02862","GGCDANDK_03498","IHGJPHMH_01329","LDOPIMGM_02982","EBMLHIBA_00704","IOFEINNK_03474","AGDBFNGI_03594","ADMANBBD_03582"
"group_1008","","putative oxidoreductase/MSMEI_2347","9","9","1","56","5968","","","","719","875","857","AGEJDLBK_02172","MCCDGJGB_02861","GGCDANDK_03497","IHGJPHMH_01330","LDOPIMGM_02983","EBMLHIBA_00705","IOFEINNK_03473","AGDBFNGI_03595","ADMANBBD_03583"
"group_1009","","hypothetical protein","9","9","1","56","5967","","","","743","743","743","AGEJDLBK_02173","MCCDGJGB_02860","GGCDANDK_03496","IHGJPHMH_01331","LDOPIMGM_02984","EBMLHIBA_00706","IOFEINNK_03472","AGDBFNGI_03596","ADMANBBD_03584"
"bacE","","Putative bacilysin exporter BacE","9","9","1","56","5958","","","","1247","1247","1247","AGEJDLBK_02182","MCCDGJGB_02851","GGCDANDK_03487","IHGJPHMH_01340","LDOPIMGM_02993","EBMLHIBA_00715","IOFEINNK_03463","AGDBFNGI_03605","ADMANBBD_03593"
"nylB_2","","6-aminohexanoate-dimer hydrolase","9","9","1","56","5957","","","","1211","1211","1211","AGEJDLBK_02183","MCCDGJGB_02850","GGCDANDK_03486","IHGJPHMH_01341","LDOPIMGM_02994","EBMLHIBA_00716","IOFEINNK_03462","AGDBFNGI_03606","ADMANBBD_03594"
"group_1012","","hypothetical protein","9","9","1","56","5941","","","","1229","1271","1243","AGEJDLBK_02199","MCCDGJGB_02834","GGCDANDK_03470","IHGJPHMH_01357","LDOPIMGM_03010","EBMLHIBA_00732","IOFEINNK_03446","AGDBFNGI_02002","ADMANBBD_03610"
"group_1013","","hypothetical protein","9","9","1","56","5928","","","","623","638","631","AGEJDLBK_02212","MCCDGJGB_02821","GGCDANDK_03457","IHGJPHMH_01370","LDOPIMGM_03023","EBMLHIBA_00745","IOFEINNK_02855","AGDBFNGI_01989","ADMANBBD_03623"
"rpsQ","","30S ribosomal protein S17","9","9","1","56","5911","","","","287","287","287","AGEJDLBK_02229","MCCDGJGB_02804","GGCDANDK_03440","IHGJPHMH_01387","LDOPIMGM_03040","EBMLHIBA_00762","IOFEINNK_02872","AGDBFNGI_01972","ADMANBBD_03640"
"rpmD","","50S ribosomal protein L30","9","9","1","56","5903","","","","182","182","182","AGEJDLBK_02237","MCCDGJGB_02796","GGCDANDK_03432","IHGJPHMH_01395","LDOPIMGM_03048","EBMLHIBA_00770","IOFEINNK_02880","AGDBFNGI_01964","ADMANBBD_03648"
"rplO","","50S ribosomal protein L15","9","9","1","56","5902","","","","452","452","452","AGEJDLBK_02238","MCCDGJGB_02795","GGCDANDK_03431","IHGJPHMH_01396","LDOPIMGM_03049","EBMLHIBA_00771","IOFEINNK_02881","AGDBFNGI_01963","ADMANBBD_03649"
"rplQ","","50S ribosomal protein L17","9","9","1","56","5889","","","","542","542","542","AGEJDLBK_02251","MCCDGJGB_02782","GGCDANDK_03418","IHGJPHMH_01409","LDOPIMGM_03062","EBMLHIBA_00784","IOFEINNK_02894","AGDBFNGI_01950","ADMANBBD_03662"
"group_1018","","hypothetical protein","9","9","1","56","5865","","","","1049","1049","1049","AGEJDLBK_02263","MCCDGJGB_02765","GGCDANDK_03406","IHGJPHMH_01421","LDOPIMGM_03074","EBMLHIBA_00796","IOFEINNK_02906","AGDBFNGI_01938","ADMANBBD_03674"
"glmS","","Glutamine--fructose-6-phosphate aminotransferase [isomerizing]","9","9","1","56","2350","","","","1805","1805","1805","AGEJDLBK_02292","MCCDGJGB_01153","GGCDANDK_03219","IHGJPHMH_03403","LDOPIMGM_01688","EBMLHIBA_01677","IOFEINNK_02434","AGDBFNGI_00110","ADMANBBD_00978"
"mgtA_2","","GDP-mannose-dependent alpha-mannosyltransferase","9","9","1","56","2361","","","","1142","1181","1168","AGEJDLBK_02303","MCCDGJGB_01142","GGCDANDK_03208","IHGJPHMH_03392","LDOPIMGM_01677","EBMLHIBA_01688","IOFEINNK_02423","AGDBFNGI_00099","ADMANBBD_00989"
"bioM","","Biotin transport ATP-binding protein BioM","9","9","1","56","2364","","","","737","770","744","AGEJDLBK_02306","MCCDGJGB_01139","GGCDANDK_03205","IHGJPHMH_03389","LDOPIMGM_01674","EBMLHIBA_01700","IOFEINNK_02411","AGDBFNGI_00087","ADMANBBD_00992"
"group_1025","","hypothetical protein","9","9","1","56","2371","","","","800","800","800","AGEJDLBK_02313","MCCDGJGB_01132","GGCDANDK_03198","IHGJPHMH_03382","LDOPIMGM_01667","EBMLHIBA_01707","IOFEINNK_02404","AGDBFNGI_00080","ADMANBBD_00999"
"ideR_2","","Iron-dependent repressor IdeR","9","9","1","56","2805","","","","659","686","683","AGEJDLBK_02322","MCCDGJGB_01878","GGCDANDK_01029","IHGJPHMH_02036","LDOPIMGM_00483","EBMLHIBA_00295","IOFEINNK_00754","AGDBFNGI_02420","ADMANBBD_01588"
"rhtA","","Threonine/homoserine exporter RhtA","9","9","1","56","2816","","","","959","1070","971","AGEJDLBK_02332","MCCDGJGB_01868","GGCDANDK_01019","IHGJPHMH_02046","LDOPIMGM_00493","EBMLHIBA_00285","IOFEINNK_00764","AGDBFNGI_02410","ADMANBBD_01598"
"tcrY_1","","putative sensor histidine kinase TcrY","9","9","1","56","2819","","","","1865","1868","1867","AGEJDLBK_02335","MCCDGJGB_01865","GGCDANDK_01016","IHGJPHMH_02049","LDOPIMGM_00496","EBMLHIBA_00282","IOFEINNK_00767","AGDBFNGI_02407","ADMANBBD_01601"
"htrB","","Serine protease Do-like HtrB","9","9","1","56","2820","","","","2165","2192","2180","AGEJDLBK_02336","MCCDGJGB_01864","GGCDANDK_01015","IHGJPHMH_02050","LDOPIMGM_00497","EBMLHIBA_00281","IOFEINNK_00768","AGDBFNGI_02406","ADMANBBD_01602"
"group_103","","hypothetical protein","9","9","1","56","3177","","","","1025","1139","1042","AGEJDLBK_02715","MCCDGJGB_00468","GGCDANDK_02440","IHGJPHMH_00161","LDOPIMGM_00752","EBMLHIBA_00026","IOFEINNK_03499","AGDBFNGI_02022","ADMANBBD_01863"
"walR","","Transcriptional regulatory protein WalR","9","9","1","56","2847","","","","764","845","836","AGEJDLBK_02363","MCCDGJGB_01836","GGCDANDK_00987","IHGJPHMH_02076","LDOPIMGM_00523","EBMLHIBA_00253","IOFEINNK_00795","AGDBFNGI_02378","ADMANBBD_01629"
"group_1031","","hypothetical protein","9","9","1","56","2849","","","","1223","1277","1271","AGEJDLBK_02365","MCCDGJGB_01834","GGCDANDK_00985","IHGJPHMH_02078","LDOPIMGM_00525","EBMLHIBA_00251","IOFEINNK_00797","AGDBFNGI_02376","ADMANBBD_01631"
