gene	genome	locus_tag	ftype	bp	EC.x	COG	KO	product
tam	Brevi_947_7.fa	IOFEINNK_01942	CDS	753	2.1.1.144		K00598	Trans-aconitate 2-methyltransferase
lacC	Brachy_962_10.fa	MCMEOHNO_02283	CDS	1014	2.7.1.144	COG1105	K00917	Tagatose-6-phosphate kinase
appA	Brevi_341_13.fa	AGEJDLBK_03547	CDS	1551			K01093	Oligopeptide-binding protein AppA
appA	Brevi_341_13.fa	AGEJDLBK_03547	CDS	1551			K01093	Oligopeptide-binding protein AppA
endA	SEQ_738_7	BGMKIKPO_00141	CDS	882	3.1.30.-		K01150	DNA-entry nuclease
hsdS	Brachy_862_8.fa	FOMIDEFL_01461	CDS	1140		COG0732	K01154	Type-1 restriction enzyme EcoKI specificity protein
endA	SEQ_738_7	BGMKIKPO_00141	CDS	882	3.1.30.-		K01170	DNA-entry nuclease
lexA	Brevi_908_7.fa	EBMLHIBA_00557	CDS	756	3.4.21.88	COG1974	K01356	LexA repressor
lexA	Brevi_908_7.fa	EBMLHIBA_00557	CDS	756	3.4.21.88	COG1974	K01356	LexA repressor
kdpA	Brevi_738_8.fa	MCCDGJGB_01233	CDS	1671		COG2060	K01546	Potassium-transporting ATPase potassium-binding subunit
kdpB	Brevi_738_8.fa	MCCDGJGB_01234	CDS	2274	3.6.3.12	COG2216	K01547	Potassium-transporting ATPase ATP-binding subunit
kdpC	Brevi_738_8.fa	MCCDGJGB_01235	CDS	636		COG2156	K01548	Potassium-transporting ATPase KdpC subunit
lacD	SEQ_738_7	BGMKIKPO_03002	CDS	981	4.1.2.40		K01635	Tagatose 1,6-diphosphate aldolase
lacD	SEQ_738_7	BGMKIKPO_03002	CDS	981	4.1.2.40		K01635	Tagatose 1,6-diphosphate aldolase
glf	Brachy_900_8.fa	LJFCBDKD_00152	CDS	1158	5.4.99.9	COG0562	K01854	UDP-galactopyranose mutase
glf	Brachy_900_8.fa	LJFCBDKD_00152	CDS	1158	5.4.99.9	COG0562	K01854	UDP-galactopyranose mutase
livF	Brevi_947_7.fa	IOFEINNK_03120	CDS	705		COG0410	K01996	High-affinity branched-chain amino acid transport ATP-binding protein LivF
livF	Brevi_947_7.fa	IOFEINNK_03120	CDS	705		COG0410	K01996	High-affinity branched-chain amino acid transport ATP-binding protein LivF
livF	Brevi_947_7.fa	IOFEINNK_03120	CDS	705		COG0410	K01996	High-affinity branched-chain amino acid transport ATP-binding protein LivF
