"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Brachy_341_9.fa","Brachy_738_10.fa","Brachy_862_8.fa","Brachy_876_9.fa","Brachy_900_8.fa","Brachy_908_11.fa","Brachy_947_11.fa","Brachy_962_10.fa","Brachy_JB7.fa"
"scrK_3","","Fructokinase","9","9","1","1","3900","","","","1304","1346","1324","HAJKDPKL_02739","JOIMIODL_00951","FOMIDEFL_02374","AGBMBALL_02917","LJFCBDKD_00525","DPNJBGPE_02014","DNNBHHGK_03510","MCMEOHNO_02107","NGPGJBKC_02718"
"fbiB","","Coenzyme F420:L-glutamate ligase","9","9","1","2","102","","","","1154","1202","1162","HAJKDPKL_01998","JOIMIODL_03361","FOMIDEFL_02757","AGBMBALL_02186","LJFCBDKD_00157","DPNJBGPE_00340","DNNBHHGK_00090","MCMEOHNO_02391","NGPGJBKC_00423"
"exoA_2","","Exodeoxyribonuclease","9","9","1","1","434","","","","719","1337","1256","HAJKDPKL_01706","JOIMIODL_00180","FOMIDEFL_01024","AGBMBALL_00804","LJFCBDKD_00310","DPNJBGPE_01670","DNNBHHGK_01539","MCMEOHNO_03075","NGPGJBKC_02565"
"tig","","Trigger factor","9","9","1","1","2837","","","","1565","1610","1590","HAJKDPKL_01233","JOIMIODL_01501","FOMIDEFL_00322","AGBMBALL_01740","LJFCBDKD_00948","DPNJBGPE_00928","DNNBHHGK_00731","MCMEOHNO_01481","NGPGJBKC_02552"
"desR_2","","Transcriptional regulatory protein DesR","9","9","1","1","2516","","","","368","767","719","HAJKDPKL_00923","JOIMIODL_02075","FOMIDEFL_01877","AGBMBALL_00394","LJFCBDKD_01259","DPNJBGPE_02984","DNNBHHGK_02982","MCMEOHNO_02136","NGPGJBKC_01688"
"group_1009","","hypothetical protein","9","9","1","1","4052","","","","2804","3146","2858","HAJKDPKL_01431","JOIMIODL_01623","FOMIDEFL_00074","AGBMBALL_01827","LJFCBDKD_01726","DPNJBGPE_00478","DNNBHHGK_00431","MCMEOHNO_02795","NGPGJBKC_03183"
"group_101","lacF_14","Lactose transport system permease protein LacF","9","9","1","1","3898","","","","860","1253","1136","HAJKDPKL_02741","JOIMIODL_00953","FOMIDEFL_02372","AGBMBALL_02915","LJFCBDKD_00523","DPNJBGPE_02016","DNNBHHGK_03512","MCMEOHNO_02109","NGPGJBKC_02716"
"afsK","","Serine/threonine-protein kinase AfsK","9","9","1","1","2633","","","","2207","2261","2243","HAJKDPKL_01036","JOIMIODL_00501","FOMIDEFL_01990","AGBMBALL_00510","LJFCBDKD_01145","DPNJBGPE_00729","DNNBHHGK_00534","MCMEOHNO_02251","NGPGJBKC_02906"
"mshD_9","","Mycothiol acetyltransferase","9","9","1","1","4489","","","","95","971","679","HAJKDPKL_02763","JOIMIODL_01130","FOMIDEFL_00943","AGBMBALL_03115","LJFCBDKD_00234","DPNJBGPE_01754","DNNBHHGK_02439","MCMEOHNO_02559","NGPGJBKC_01926"
"group_1027","","hypothetical protein","9","9","1","1","3712","","","","992","1010","1002","HAJKDPKL_03422","JOIMIODL_01734","FOMIDEFL_02634","AGBMBALL_02287","LJFCBDKD_01885","DPNJBGPE_03358","DNNBHHGK_03090","MCMEOHNO_01589","NGPGJBKC_02966"
