locus_tag	ftype	length_bp	gene	EC_number	COG	product
GGCDANDK_00001	CDS	189				hypothetical protein
GGCDANDK_00002	CDS	330				hypothetical protein
GGCDANDK_00003	CDS	1455	ftsK_1			DNA translocase FtsK
GGCDANDK_00004	CDS	375				hypothetical protein
GGCDANDK_00005	CDS	504				hypothetical protein
GGCDANDK_00006	CDS	258				hypothetical protein
GGCDANDK_00007	CDS	1101	xerC_1		COG4973	Tyrosine recombinase XerC
GGCDANDK_00008	tRNA	74				tRNA-Thr(cgt)
GGCDANDK_00009	CDS	891	wecD_1	2.3.1.210		dTDP-fucosamine acetyltransferase
GGCDANDK_00010	CDS	1119	cpg2_1	3.4.17.11		Carboxypeptidase G2
GGCDANDK_00011	CDS	1158	dnaX_1	2.7.7.7	COG2812	DNA polymerase III subunit gamma/tau
GGCDANDK_00012	CDS	2802	tmk	2.7.4.9	COG0125	Thymidylate kinase
GGCDANDK_00013	CDS	735	lipL	2.3.1.204	COG0095	Octanoyl-[GcvH]:protein N-octanoyltransferase
GGCDANDK_00014	CDS	492	bar	2.3.1.183		Phosphinothricin N-acetyltransferase
GGCDANDK_00015	CDS	2841	topA	5.99.1.2	COG0550	DNA topoisomerase 1
GGCDANDK_00016	CDS	1704	prmC_1	2.1.1.297	COG2890	Release factor glutamine methyltransferase
GGCDANDK_00017	CDS	2277	cshE	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshE
GGCDANDK_00018	CDS	318				hypothetical protein
GGCDANDK_00019	CDS	426				hypothetical protein
GGCDANDK_00020	CDS	318				hypothetical protein
GGCDANDK_00021	CDS	603	ydaF_1	2.3.1.-	COG1670	Putative ribosomal N-acetyltransferase YdaF
GGCDANDK_00022	CDS	591				hypothetical protein
GGCDANDK_00023	CDS	678				hypothetical protein
GGCDANDK_00024	CDS	1170			COG4962	Putative conjugal transfer protein
GGCDANDK_00025	CDS	1008				putative protein
GGCDANDK_00026	CDS	2958				hypothetical protein
GGCDANDK_00027	CDS	1935	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
GGCDANDK_00028	CDS	408				hypothetical protein
GGCDANDK_00029	CDS	1023				hypothetical protein
GGCDANDK_00030	CDS	966	drrA_1	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
GGCDANDK_00031	CDS	855	drrB			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
GGCDANDK_00032	CDS	1500				hypothetical protein
GGCDANDK_00033	CDS	777	nudL	3.6.1.-		putative Nudix hydrolase NudL
GGCDANDK_00034	CDS	732	pdg			Ultraviolet N-glycosylase/AP lyase
GGCDANDK_00035	CDS	678	crp			CRP-like cAMP-activated global transcriptional regulator
GGCDANDK_00036	CDS	393				hypothetical protein
GGCDANDK_00037	CDS	765	baeB	3.-.-.-	COG0491	putative polyketide biosynthesis zinc-dependent hydrolase BaeB
GGCDANDK_00038	CDS	978				hypothetical protein
GGCDANDK_00039	CDS	474	tdcF	3.5.4.-	COG0251	Putative reactive intermediate deaminase TdcF
GGCDANDK_00040	CDS	156				hypothetical protein
GGCDANDK_00041	CDS	336				hypothetical protein
GGCDANDK_00042	CDS	840				hypothetical protein
GGCDANDK_00043	CDS	2346	ponA1_1		COG0744	Penicillin-binding protein 1A
GGCDANDK_00044	CDS	939				hypothetical protein
GGCDANDK_00045	CDS	912	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
GGCDANDK_00046	CDS	870	fhuC_1	3.6.3.34	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
GGCDANDK_00047	CDS	1032	psaA		COG0803	Manganese ABC transporter substrate-binding lipoprotein
GGCDANDK_00048	CDS	1053	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
GGCDANDK_00049	CDS	1329	ask	2.7.2.4	COG0527	Aspartokinase
GGCDANDK_00050	CDS	234				hypothetical protein
GGCDANDK_00051	CDS	687				hypothetical protein
GGCDANDK_00052	CDS	606	recR		COG0353	Recombination protein RecR
GGCDANDK_00053	CDS	3447	dnaX_2	2.7.7.7	COG2812	DNA polymerase III subunit gamma/tau
GGCDANDK_00054	CDS	669				hypothetical protein
GGCDANDK_00055	CDS	189				hypothetical protein
GGCDANDK_00056	CDS	1050	mshD_1	2.3.1.189		Mycothiol acetyltransferase
GGCDANDK_00057	CDS	618				putative protein
GGCDANDK_00058	CDS	579				hypothetical protein
GGCDANDK_00059	CDS	342				hypothetical protein
GGCDANDK_00060	CDS	426				hypothetical protein
GGCDANDK_00061	CDS	1629	speE_1	2.5.1.104	COG0421	Polyamine aminopropyltransferase
GGCDANDK_00062	CDS	405				hypothetical protein
GGCDANDK_00063	CDS	603				hypothetical protein
GGCDANDK_00064	CDS	930	cobB	3.5.1.-	COG0846	NAD-dependent protein deacetylase
GGCDANDK_00065	CDS	453	fldA_1		COG0655	Flavodoxin
GGCDANDK_00066	CDS	420				hypothetical protein
GGCDANDK_00067	CDS	360				hypothetical protein
GGCDANDK_00068	CDS	1428	amiD	3.5.1.4	COG0154	Putative amidase AmiD
GGCDANDK_00069	CDS	819	nimR_1			HTH-type transcriptional regulator NimR
GGCDANDK_00070	CDS	1029	yfiY_1		COG0614	putative siderophore-binding lipoprotein YfiY
GGCDANDK_00071	CDS	1041	yfiZ		COG0609	putative siderophore transport system permease protein YfiZ
GGCDANDK_00072	CDS	1086	fepG_1		COG4779	Ferric enterobactin transport system permease protein FepG
GGCDANDK_00073	CDS	804	yusV		COG1120	putative siderophore transport system ATP-binding protein YusV
GGCDANDK_00074	CDS	672				hypothetical protein
GGCDANDK_00075	CDS	1185	sigI		COG1595	putative ECF RNA polymerase sigma factor SigI
GGCDANDK_00076	CDS	408				hypothetical protein
GGCDANDK_00077	CDS	702				hypothetical protein
GGCDANDK_00078	CDS	534	yraA	3.2.-.-	COG0693	Putative cysteine protease YraA
GGCDANDK_00079	CDS	1182	lytB		COG2247	Amidase enhancer
GGCDANDK_00080	CDS	528	msuD	1.14.14.5	COG2141	Methanesulfonate monooxygenase
GGCDANDK_00081	tRNA	88				tRNA-Ser(gga)
GGCDANDK_00082	CDS	1458		2.3.2.-		L,D-transpeptidase 5
GGCDANDK_00083	CDS	1029	yfiY_2		COG0614	putative siderophore-binding lipoprotein YfiY
GGCDANDK_00084	CDS	339	clgR_1			Transcriptional regulator ClgR
GGCDANDK_00085	CDS	288				hypothetical protein
GGCDANDK_00086	CDS	675	vraR		COG2197	Response regulator protein VraR
GGCDANDK_00087	CDS	1401	desK_1	2.7.13.3	COG4585	Sensor histidine kinase DesK
GGCDANDK_00088	CDS	582	clpP2_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit 2
GGCDANDK_00089	CDS	546	clpP1_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit 1
GGCDANDK_00090	CDS	303				hypothetical protein
GGCDANDK_00091	CDS	813	yidC_1		COG0706	Membrane protein insertase YidC
GGCDANDK_00092	CDS	2553	clpC		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpC
GGCDANDK_00093	CDS	747				hypothetical protein
GGCDANDK_00094	CDS	669				hypothetical protein
GGCDANDK_00095	CDS	660				hypothetical protein
GGCDANDK_00096	CDS	1710			COG0747	putative protein
GGCDANDK_00097	CDS	1056	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
GGCDANDK_00098	CDS	876	ddpC		COG1173	putative D,D-dipeptide transport system permease protein DdpC
GGCDANDK_00099	CDS	1683	gsiA_1	3.6.3.-	COG1123	Glutathione import ATP-binding protein GsiA
GGCDANDK_00100	CDS	1026	luxA_1	1.14.14.3	COG2141	Alkanal monooxygenase alpha chain
GGCDANDK_00101	CDS	1344				hypothetical protein
GGCDANDK_00102	CDS	630			COG0500	putative protein
GGCDANDK_00103	CDS	966	trxB_1	1.8.1.9		Thioredoxin reductase
GGCDANDK_00104	CDS	588	puuR_1			HTH-type transcriptional regulator PuuR
GGCDANDK_00105	CDS	420				hypothetical protein
GGCDANDK_00106	CDS	1524	thcA_1	1.2.1.3	COG1012	EPTC-inducible aldehyde dehydrogenase
GGCDANDK_00107	CDS	1098				hypothetical protein
GGCDANDK_00108	CDS	369				hypothetical protein
GGCDANDK_00109	CDS	612				hypothetical protein
GGCDANDK_00110	CDS	561				hypothetical protein
GGCDANDK_00111	CDS	759	aqpZ		COG0580	Aquaporin Z
GGCDANDK_00112	CDS	294				hypothetical protein
GGCDANDK_00113	CDS	225				hypothetical protein
GGCDANDK_00114	CDS	1071			COG0628	Putative transport protein
GGCDANDK_00115	CDS	2586	dcp	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
GGCDANDK_00116	CDS	750	yhhQ		COG1738	Queuosine precursor transporter
GGCDANDK_00117	CDS	1260	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
GGCDANDK_00118	CDS	927	mmuM	2.1.1.10	COG2040	Homocysteine S-methyltransferase
GGCDANDK_00119	CDS	1002	cefF	1.14.11.26		Deacetoxycephalosporin C hydroxylase
GGCDANDK_00120	CDS	1404		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
GGCDANDK_00121	CDS	1203	pat_1	2.6.1.-	COG0079	Putative phenylalanine aminotransferase
GGCDANDK_00122	CDS	1476	mqo	1.1.5.4	COG0579	putative malate:quinone oxidoreductase
GGCDANDK_00123	CDS	825	allE	3.5.3.26	COG3257	(S)-ureidoglycine aminohydrolase
GGCDANDK_00124	CDS	1371				hypothetical protein
GGCDANDK_00125	CDS	1380		1.1.1.38		NAD-dependent malic enzyme
GGCDANDK_00126	CDS	786	iclR_1		COG1414	Transcriptional repressor IclR
GGCDANDK_00127	CDS	2754	aceE_1	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
GGCDANDK_00128	CDS	885	uox	1.7.3.3		Uricase
GGCDANDK_00129	CDS	324	hiuH	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
GGCDANDK_00130	CDS	495	uao			Uric acid degradation bifunctional protein
GGCDANDK_00131	CDS	1182	glxK	2.7.1.31	COG1929	Glycerate 3-kinase
GGCDANDK_00132	CDS	468	bcp_1	1.11.1.15	COG1225	Putative peroxiredoxin
GGCDANDK_00133	CDS	558				hypothetical protein
GGCDANDK_00134	CDS	372				hypothetical protein
GGCDANDK_00135	CDS	1380	allB	3.5.2.5	COG0044	Allantoinase
GGCDANDK_00136	CDS	1797	gcl	4.1.1.47	COG3960	Glyoxylate carboligase
GGCDANDK_00137	CDS	882	glxR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
GGCDANDK_00138	CDS	813	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
GGCDANDK_00139	CDS	1575	uacT_1		COG2233	Uric acid transporter UacT
GGCDANDK_00140	CDS	1287	guaD	3.5.4.3	COG0402	Guanine deaminase
GGCDANDK_00141	CDS	789				hypothetical protein
GGCDANDK_00142	CDS	2400	pucD	1.17.1.4	COG1529	putative xanthine dehydrogenase subunit D
GGCDANDK_00143	CDS	1479	ndhF	1.17.1.5		Nicotinate dehydrogenase FAD-subunit
GGCDANDK_00144	CDS	1482	pbuG		COG2252	Guanine/hypoxanthine permease PbuG
GGCDANDK_00145	tRNA	91				tRNA-Ser(cga)
GGCDANDK_00146	CDS	447	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
GGCDANDK_00147	CDS	1272	upp	2.4.2.9		Uracil phosphoribosyltransferase
GGCDANDK_00148	CDS	828	prrA			Transcriptional regulatory protein PrrA
GGCDANDK_00149	CDS	942				hypothetical protein
GGCDANDK_00150	CDS	1191		3.4.21.-	COG0265	Serine protease
GGCDANDK_00151	CDS	1287	prsW	3.4.-.-	COG2339	Protease PrsW
GGCDANDK_00152	CDS	1959				hypothetical protein
GGCDANDK_00153	CDS	789	bphF	4.1.3.39		4-hydroxy-2-oxovalerate aldolase
GGCDANDK_00154	CDS	786	hpcG	4.2.1.163		2-oxo-hept-4-ene-1,7-dioate hydratase
GGCDANDK_00155	CDS	1113	bphC	1.13.11.39		Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase
GGCDANDK_00156	CDS	1506	puuC	1.2.1.5	COG1012	NADP/NAD-dependent aldehyde dehydrogenase PuuC
GGCDANDK_00157	CDS	738				hypothetical protein
GGCDANDK_00158	CDS	1482	hpcE		COG0179	Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase
GGCDANDK_00159	CDS	1338	yhjE_1			Inner membrane metabolite transport protein YhjE
GGCDANDK_00160	CDS	1902	mobA_1	1.14.13.23	COG0654	3-hydroxybenzoate 4-monooxygenase
GGCDANDK_00161	CDS	1113				hypothetical protein
GGCDANDK_00162	CDS	519				hypothetical protein
GGCDANDK_00163	CDS	1722				hypothetical protein
GGCDANDK_00164	CDS	612	udk	2.7.1.48	COG0572	Uridine kinase
GGCDANDK_00165	CDS	1581				hypothetical protein
GGCDANDK_00166	CDS	3591	putA			Bifunctional protein PutA
GGCDANDK_00167	CDS	1182			COG0654	putative protein
GGCDANDK_00168	CDS	2898				hypothetical protein
GGCDANDK_00169	CDS	1173	mii	5.3.3.6		3-methylitaconate isomerase
GGCDANDK_00170	CDS	1239	genK		COG0477	Gentisate transporter
GGCDANDK_00171	CDS	1464	xylC	1.2.1.28		Benzaldehyde dehydrogenase [NAD(+)]
