gene	com_908	Gene	Non.unique.Gene.name	Annotation	No..isolates	No..sequences	Avg.sequences.per.isolate	Genome.Fragment	Order.within.Fragment	Accessory.Fragment	Accessory.Order.with.Fragment	QC	Min.group.size.nuc	Max.group.size.nuc	Avg.group.size.nuc	com_341.fna	com_738.fna	com_862.fna	com_876.fna	com_900.fna	com_908.fna	com_947.fna	com_962.fna	com_JB.fna
adh	1	adh		Alcohol dehydrogenase	9	9	1	1	3946	NA	NA		1052	1052	1052	GOJPHPBD_04418	DEIPBNHI_04661	LBLIGOHA_04183	IIFCLKFN_05871	BOFCGCOL_05760	KJABKPCK_04236	KLLDKJAP_04324	HHDJLLAI_06364	IFEKPJDH_04239
araP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
araQ	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
arsA	1	arsA		Arsenical pump-driving ATPase	9	9	1	1	3821	NA	NA		983	983	983	GOJPHPBD_04887	DEIPBNHI_06641	LBLIGOHA_06438	IIFCLKFN_06605	BOFCGCOL_06541	KJABKPCK_04789	KLLDKJAP_06920	HHDJLLAI_03913	IFEKPJDH_05681
arsB	1	arsB		Arsenical pump membrane protein	9	9	1	2	3574	NA	NA		1292	1292	1292	GOJPHPBD_09036	DEIPBNHI_07636	LBLIGOHA_07890	IIFCLKFN_07429	BOFCGCOL_09357	KJABKPCK_09125	KLLDKJAP_08849	HHDJLLAI_07629	IFEKPJDH_10000
arsC	1	arsC		Arsenate reductase	9	9	1	2	3575	NA	NA		395	395	395	GOJPHPBD_09037	DEIPBNHI_07637	LBLIGOHA_07891	IIFCLKFN_07428	BOFCGCOL_09356	KJABKPCK_09126	KLLDKJAP_08850	HHDJLLAI_07628	IFEKPJDH_10001
arsD	1	arsD		Arsenical resistance operon trans-acting repressor ArsD	1	1	1	2	3570	1957	15		347	347	347						KJABKPCK_09410			
atsA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
btr	1	btr		HTH-type transcriptional activator Btr	6	6	1	2	969	1281	1		884	884	884		DEIPBNHI_10618	LBLIGOHA_09475	IIFCLKFN_07380		KJABKPCK_08858	KLLDKJAP_09465	HHDJLLAI_09938	
budC	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
crr	1	crr		PTS system glucose-specific EIIA component	9	9	1	2	4157	NA	NA		500	500	500	GOJPHPBD_08303	DEIPBNHI_10318	LBLIGOHA_08618	IIFCLKFN_08013	BOFCGCOL_08536	KJABKPCK_08321	KLLDKJAP_08169	HHDJLLAI_09661	IFEKPJDH_08598
cypD	1	cypD		Cypemycin cysteine dehydrogenase (decarboxylating)	1	1	1	1	8729	1	1359		593	593	593						KJABKPCK_07220			
cysL	1	cysL		putative HTH-type transcriptional regulator	9	9	1	1	7519	NA	NA		899	899	899	GOJPHPBD_05287	DEIPBNHI_05665	LBLIGOHA_03933	IIFCLKFN_05570	BOFCGCOL_04077	KJABKPCK_03869	KLLDKJAP_07045	HHDJLLAI_06034	IFEKPJDH_07411
czcO	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dcuR	1	dcuR		Transcriptional regulatory protein DcuR	1	1	1	1	5551	13	16		713	713	713						KJABKPCK_06803			
desK	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
desR	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
epsJ	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
exuR	1	exuR		putative HTH-type transcriptional repressor ExuR	9	9	1	2	440	NA	NA		944	944	944	GOJPHPBD_09985	DEIPBNHI_10179	LBLIGOHA_09969	IIFCLKFN_07931	BOFCGCOL_10074	KJABKPCK_09165	KLLDKJAP_07467	HHDJLLAI_09393	IFEKPJDH_09959
fas6	1	fas6		Cytokinin riboside 5'-monophosphate phosphoribohydrolase	1	1	1	2	4068	212	4		440	440	440						KJABKPCK_08243			
fdm	1	fdm		Formaldehyde dismutase	1	1	1	2	1231	2	225		416	416	416						KJABKPCK_07948			
fitB	1	fitB		Toxin FitB	1	1	1	1	6745	1	1806		419	419	419						KJABKPCK_04057			
ftsK	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gatC	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbsB	1	gbsB		Alcohol dehydrogenase	1	1	1	2	2538	3	418		1154	1154	1154						KJABKPCK_10027			
gldA	1	gldA		Glycerol dehydrogenase	3	3	1	2	2562	3	108		1100	1100	1100	GOJPHPBD_09954					KJABKPCK_08787			IFEKPJDH_09228
glnP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gsiB	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hemA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hxlB	1	hxlB		3-hexulose-6-phosphate isomerase	8	8	1	2	2764	3	11		548	548	548	GOJPHPBD_09308	DEIPBNHI_09171	LBLIGOHA_07440	IIFCLKFN_08561	BOFCGCOL_09758	KJABKPCK_07276	KLLDKJAP_08396	HHDJLLAI_08082	
iaaM	1	iaaM		Tryptophan 2-monooxygenase	1	1	1	1	8029	4	229		1856	1856	1856						KJABKPCK_07224			
lip	1	lip		Lipase	1	1	1	2	1182	2	729		2261	2261	2261						KJABKPCK_09802			
lytM	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
malI	1	malI		Maltose regulon regulatory protein MalI	1	1	1	1	2628	4	149		1004	1004	1004						KJABKPCK_03312			
mco	1	mco		Multicopper oxidase mco	1	1	1	2	498	3	533		1388	1388	1388						KJABKPCK_08805			
mlc	1	mlc		Protein mlc	8	8	1	1	11277	642	1		1376	1376	1376	GOJPHPBD_01581	DEIPBNHI_01220	LBLIGOHA_00622		BOFCGCOL_03283	KJABKPCK_02868	KLLDKJAP_01883	HHDJLLAI_00994	IFEKPJDH_01913
moxC	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
oppF	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
paeR7IM	1	paeR7IM		Modification methylase PaeR7I	1	1	1	1	5264	1	416		1745	1745	1745						KJABKPCK_07188			
pglJ	1	pglJ		N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase	1	1	1	245	1	1965	1		614	614	614						KJABKPCK_10114			
phrB	1	phrB		Deoxyribodipyrimidine photo-lyase	1	1	1	2	2680	3	66		1376	1376	1376						KJABKPCK_08849			
proP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
purR	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
puuC	1	puuC		NADP/NAD-dependent aldehyde dehydrogenase PuuC	9	9	1	1	6495	NA	NA		1505	1505	1505	GOJPHPBD_06861	DEIPBNHI_06051	LBLIGOHA_03803	IIFCLKFN_04256	BOFCGCOL_05107	KJABKPCK_04039	KLLDKJAP_05779	HHDJLLAI_06871	IFEKPJDH_04872
radD	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
