Community	Gene	Annotation	com_900_genomes	Level1	Level2	Level3	KO	EC
900	ade	Adenine deaminase	Brevi_900_6.fa_03531	Metabolism	Amino acid metabolism	Purine metabolism	K01486	3.5.4.2
900	bbp	Bone sialoprotein-binding protein	SEQ_900_4.fa_00071	Diseases	Infectious diseases: bacterial	S. aureus infection	K14194	
900	davd	Glutarate-semialdehyde dehydrogenase DavD	Brevi_900_6.fa_01085	Metabolism	Carbohydrate metabolism	Butanoate metabolism	K00139	
900	dgae	D-glucosaminate-6-phosphate ammonia lyase	SEQ_900_4.fa_00026	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	K17468	4.3.1.29
900	dgaf	2-dehydro-3-deoxy-phosphogluconate aldolase	SEQ_900_4.fa_00027	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	K17463	4.1.2.14
900	dgok1	putative 2-dehydro-3-deoxygalactonokinase DgoK1	Brevi_900_6.fa_03536	Metabolism	Carbohydrate metabolism	Galactose metabolism	K00883	
900	dpna	Modification methylase DpnIIB	Brevi_900_6.fa_00169	Protein families: signaling and cellular processes	Enzymes	Prokaryotic defense system	K07319	
900	dsdc	HTH-type transcriptional regulator DsdC	Brevi_900_6.fa_00226	Protein families: genetic information processing	Enzymes	Transcription factors	K13636	
900	frlr	putative fructoselysine utilization operon transcriptional repressor	SEQ_900_4.fa_00029	Protein families: genetic information processing	Enzymes	Transcription factors	K10711	
900	gpmb	phosphoglycerate mutase GpmB	SEQ_900_4.fa_02767	Metabolism	Carbohydrate metabolism	Glycolysis	K15634	5.4.2.12
900	idnt	Gnt-II system L-idonate transporter	SEQ_900_4.fa_00030	Protein families: signaling and cellular processes	Enzymes	Transporters	K06157	
900	kdc	Alpha-keto-acid decarboxylase	SEQ_900_4.fa_02518	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K21431	4.1.1.-
900	mmpr5	HTH-type transcriptional regulator MmpR5	Brevi_900_6.fa_01083	Protein families: signaling and cellular processes	Enzymes	Prokaryotic defense system	K18831	
900	padc	Phenolic acid decarboxylase PadC	SEQ_900_4.fa_00683	Metabolism	Amino acid metabolism	Phenylalanine metabolism	K18362	
900	prpf	2-methyl-aconitate isomerase	Brevi_900_6.fa_01493	Metabolism	Carbohydrate metabolism	Propanoate metabolism	K09788	5.3.3.-
900	rbsr	Ribose operon repressor	Brevi_900_6.fa_00104	Protein families: genetic information processing	Enzymes	Transcription factors	K02529	
900	spo0c	Chromosome-partitioning protein Spo0J	Brachy_900_8.fa_03506	Protein families: genetic information processing	Enzymes	Transcription factors	K03497	
900	ssb2	Single-stranded DNA-binding protein 2	Brachy_900_8.fa_01280	Protein families: genetic information processing	Enzymes	DNA replication proteins	K03111	
900	ttuc	putative tartrate dehydrogenase/decarboxylase TtuC'	SEQ_900_4.fa_00675	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	K07246	
900	xylg	Xylose import ATP-binding protein XylG	SEQ_900_4.fa_01501	Protein families: signaling and cellular processes	Enzymes	Transporters	K10545	3.6.3.17
900	ydis	Type-2 restriction enzyme BsuMI component YdiS	Brevi_900_6.fa_00171	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K00313	
900	yefm	Antitoxin YefM	SEQ_900_4.fa_00663	Protein families: signaling and cellular processes	Enzymes	Prokaryotic defense system	K19159	
900	yije	putative cystine transporter YijE	Brevi_900_6.fa_03259	Metabolism	Amino acid metabolism	Purine metabolism	K07816	
900	yjcd	Putative ATP-dependent DNA helicase YjcD	SEQ_900_4.fa_01829	Protein families: signaling and cellular processes	Enzymes	Transporters	K06901	
900	yoeb	Toxin YoeB	SEQ_900_4.fa_00662	Protein families: signaling and cellular processes	Enzymes	Prokaryotic defense system	K19158	3.1.-.-
900	yxaf	putative HTH-type transcriptional regulator YxaF	Brachy_900_8.fa_01700	Protein families: genetic information processing	Enzymes	Transcription factors	K18939	
900	yxem	putative amino-acid-binding protein YxeM	Brevi_900_6.fa_03652	Protein families: signaling and cellular processes	Enzymes	Transporters	K16961	
