Community	Gene	Annotation	com_962_genomes	Level1	Level2	Level3	KO	Product	EC
962	arnb	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase	SEQ_962_6.fa_00729	Environmental information processing	Signal transduction	Two-component system	K07806	NA	NA
962	capa	Capsule biosynthesis protein CapA	Brevi_962_8.fa_00962	Protein families: signaling and cellular processes	Enzymes	Secretion system	K12689	campylobacteradhesionprotein	
962	elmgt	Elloramycin glycosyltransferase ElmGT	Brevi_962_8.fa_02621	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of type II polyketide products	K19566	8-demethyltetracenomycinCL-rhamnosyltransferase	2.4.1.331
962	enta	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	Brevi_962_8.fa_02623	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	K00216	2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase	1.3.1.28
962	entf	Enterobactin synthase component F	Brevi_962_8.fa_00071	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	K02364	enterobactinsynthetasecomponentF	6.3.2.14
962	epsm	Putative acetyltransferase EpsM	SEQ_962_6.fa_01176	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K19429	acetyltransferaseEpsM	2.3.1.-
962	fldb	(R)-phenyllactyl-CoA dehydratase alpha subunit	Brevi_962_8.fa_00959	Not included in pathway or Brite	Unclassified: metabolism	Energy metabolism	K03840	flavodoxinII	
962	kanf	2-deoxystreptamine glucosyltransferase	Brevi_962_8.fa_03331	Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin, and gentamicin biosynthesis	K13550	NA	NA
962	mdly	Mandelamide hydrolase	Brevi_962_8.fa_02155	Metabolism	Xenobiotics biodegration and metabolism	Aminobenzoate degradation	K18541	mandelamideamidase	3.5.1.86
962	npt	4'-phosphopantetheinyl transferase Npt	Brevi_962_8.fa_02627	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis	K06133	NA	NA
962	pglc	Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase	SEQ_962_6.fa_00730	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K15915	undecaprenylphosphateN,N'-diacetylbacillosamine1-phosphatetransferase	2.7.8.36
962	pglj	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase	SEQ_962_6.fa_00738	Protein families: metabolisms	Enzymes	Glycosyltransferases	K17248	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol4-alpha-N-acetylgalactosaminyltransferase	2.4.1.291
962	pinr	Serine recombinase PinR	Brevi_962_8.fa_02585	Not included in pathway or Brite	Unclassified: genetic information processing	Replication and repair	K14060	putativeDNA-invertasefromlambdoidprophageRac	
962	pspb	Putative phosphoserine phosphatase 2	Brevi_962_8.fa_01691	Protein families: signaling and cellular processes	Enzymes	Prokaryotic defense system	K03970	phageshockproteinB	
962	pssm	Exopolysaccharide glucosyl ketal-pyruvate-transferase	Brachy_962_10.fa_02926	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K21154	exopolysaccharideglucosylketal-pyruvate-transferase	2.5.1.98
962	rep	ATP-dependent DNA helicase Rep	Brevi_962_8.fa_01527	Protein families: genetic information processing	Enzymes	DNA repair and recombination proteins	K03656	ATP-dependentDNAhelicaseRep	3.6.4.12
962	srmb	ATP-dependent RNA helicase SrmB	Brevi_962_8.fa_01528	Protein families: genetic information processing	Enzymes	Ribosome biogenesis	K05590	ATP-dependentRNAhelicaseSrmB	3.6.4.13
962	tuac	Putative teichuronic acid biosynthesis glycosyltransferase TuaC	SEQ_962_6.fa_00735	Protein families: metabolisms	Enzymes	Glycosyltransferases	K16697	teichuronicacidbiosynthesisglycosyltransferaseTuaC	2.4.-.-
962	vatd	Streptogramin A acetyltransferase	SEQ_962_6.fa_00734	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis	K18234	NA	NA
962	vibb	Vibriobactin-specific isochorismatase	Brevi_962_8.fa_02626	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	K01252 	NA	NA
962	yhah	Inner membrane protein YhaH	Brevi_962_8.fa_02134	Not included in pathway or Brite	Unclassified: signaling and cellular processes	Structural proteins	K06143	NA	NA
962	yhcg	Putative nuclease YhcG	Brevi_962_8.fa_03546	Protein families: signaling and cellular processes	Enzymes	Transporters	K01990	NA	NA
962	ymfd	Bacillibactin exporter	Brevi_962_8.fa_03533	Protein families: signaling and cellular processes	Enzymes	Transporters	K08221	NA	NA
