locus_tag	ftype	length_bp	gene	EC_number	COG	product
SEQ_BC9.fa_00001	tRNA	74				tRNA-Trp(cca)
SEQ_BC9.fa_00002	tRNA	74				tRNA-His(gtg)
SEQ_BC9.fa_00003	tRNA	74				tRNA-Gln(ttg)
SEQ_BC9.fa_00004	tRNA	74				tRNA-Cys(gca)
SEQ_BC9.fa_00005	tRNA	75				tRNA-Gly(tcc)
SEQ_BC9.fa_00006	tRNA	75				tRNA-Gly(tcc)
SEQ_BC9.fa_00007	tRNA	75				tRNA-Gly(tcc)
SEQ_BC9.fa_00008	tRNA	75				tRNA-Gly(tcc)
SEQ_BC9.fa_00009	tRNA	86				tRNA-Leu(caa)
SEQ_BC9.fa_00010	CDS	1083				hypothetical protein
SEQ_BC9.fa_00011	CDS	1464	artQ		COG0765	Arginine transport system permease protein ArtQ
SEQ_BC9.fa_00012	CDS	723	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
SEQ_BC9.fa_00013	CDS	1131	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
SEQ_BC9.fa_00014	CDS	471	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
SEQ_BC9.fa_00015	CDS	600	nagB_1	3.5.99.6		Glucosamine-6-phosphate deaminase
SEQ_BC9.fa_00016	CDS	186				hypothetical protein
SEQ_BC9.fa_00017	CDS	417				hypothetical protein
SEQ_BC9.fa_00018	CDS	1386	fumC	4.2.1.2		Fumarate hydratase class II
SEQ_BC9.fa_00019	CDS	828	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
SEQ_BC9.fa_00020	CDS	1110	liaS	2.7.13.3	COG4585	Sensor histidine kinase LiaS
SEQ_BC9.fa_00021	CDS	624	vraR_1		COG2197	Response regulator protein VraR
SEQ_BC9.fa_00022	CDS	1284	gltP		COG1301	Proton/glutamate-aspartate symporter
SEQ_BC9.fa_00023	CDS	345				hypothetical protein
SEQ_BC9.fa_00024	CDS	360				hypothetical protein
SEQ_BC9.fa_00025	CDS	852	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
SEQ_BC9.fa_00026	CDS	465				hypothetical protein
SEQ_BC9.fa_00027	CDS	1131				hypothetical protein
SEQ_BC9.fa_00028	CDS	345				hypothetical protein
SEQ_BC9.fa_00029	CDS	1185	yhaO		COG0420	putative metallophosphoesterase YhaO
SEQ_BC9.fa_00030	CDS	2934	yhaN		COG4717	putative protein YhaN
SEQ_BC9.fa_00031	CDS	942	yhaM	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
SEQ_BC9.fa_00032	CDS	993	prsA	5.2.1.8	COG0760	Foldase protein PrsA
SEQ_BC9.fa_00033	CDS	558				hypothetical protein
SEQ_BC9.fa_00034	CDS	372				hypothetical protein
SEQ_BC9.fa_00035	CDS	426	hit		COG0537	Protein hit
SEQ_BC9.fa_00036	CDS	738	ecsA		COG1131	ABC-type transporter ATP-binding protein EcsA
SEQ_BC9.fa_00037	CDS	1224				hypothetical protein
SEQ_BC9.fa_00038	CDS	504	traP		COG2329	Signal transduction protein TRAP
SEQ_BC9.fa_00039	CDS	1035	hemE	4.1.1.37		Uroporphyrinogen decarboxylase
SEQ_BC9.fa_00040	CDS	924	hemH_1	4.99.1.1		Ferrochelatase
