gene	genome	locus_tag	ftype	bp	EC.x	COG	KO	product
abo	Brevi_962_8.fa	AGDBFNGI_03087	CDS	1155	1.5.3.19		K00315	4-methylaminobutanoate oxidase (formaldehyde-forming)
bbp	SEQ_900_4	LKFOIOBI_00071	CDS	3855			K14194	Bone sialoprotein-binding protein
bdbD	SEQ_341_10	FAGDNHIP_00214	CDS	609		COG1651	K03611	Disulfide bond formation protein D
bglF	SEQ_BC9	EPECHOLL_00315	CDS	1896		COG1263	K02755	PTS system beta-glucoside-specific EIIBCA component
bin3	SEQ_947_12	IFGBOHMA_02608	CDS	609			K07132	Putative transposon Tn552 DNA-invertase bin3
davD	Brevi_900_6.fa	LDOPIMGM_01085	CDS	1422	1.2.1.20	COG1012	K00139	Glutarate-semialdehyde dehydrogenase DavD
gdhIV	SEQ_900_4	LKFOIOBI_02832	CDS	759	1.1.1.47	COG1028	K13937 	Glucose 1-dehydrogenase 4
haeIIIM	SEQ_962_6	PIPEENFB_01664	CDS	987	2.1.1.37		K00558	Modification methylase HaeIII
hbpA	Brevi_900_6.fa	LDOPIMGM_03524	CDS	1746		COG0747	K02035	Heme-binding protein A
hrdB	Brachy_962_10.fa	MCMEOHNO_01708	CDS	1293		COG0568	K03087	RNA polymerase principal sigma factor HrdB
ldh2	Brachy_738_10.fa	JOIMIODL_00771	CDS	879	1.1.1.27		K00016	L-lactate dehydrogenase 2
lgoT	Brevi_738_8.fa	MCCDGJGB_00463	CDS	1164			K08191	putative L-galactonate transporter
licT	SEQ_738_7	BGMKIKPO_01397	CDS	843		COG3711	K03488	Transcription antiterminator LicT
mmpR5	Brevi_900_6.fa	LDOPIMGM_01083	CDS	495			K18831	HTH-type transcriptional regulator MmpR5
parA	SEQ_900_4	LKFOIOBI_02734	CDS	795			K03593	Chromosome partitioning protein ParA
pre	Brachy_862_8.fa	FOMIDEFL_03006	CDS	1101			K18640	Plasmid recombination enzyme
pucK	SEQ_962_6	PIPEENFB_02586	CDS	1269		COG2233	K16169 	Uric acid permease PucK
qacA	Brevi_876_7.fa	IHGJPHMH_02722	CDS	1569		COG0477	K04727	Antiseptic resistance protein
rbsR	Brachy_962_10.fa	MCMEOHNO_00977	CDS	1209		COG1609	K02529	Ribose operon repressor
recD2	Brevi_738_8.fa	MCCDGJGB_01006	CDS	3333	3.6.4.12		K03581	ATP-dependent RecD-like DNA helicase
rppH	SEQ_738_7	BGMKIKPO_01254	CDS	852	3.6.1.-		K08311	RNA pyrophosphohydrolase
sau3AIR	SEQ_341_10	FAGDNHIP_02422	CDS	1545	3.1.21.4		K03573	Type-2 restriction enzyme Sau3AI
sftA	SEQ_876_5	IGOCDMGC_00302	CDS	3783			K03466	DNA translocase SftA
slmA	Brachy_900_8.fa	LJFCBDKD_02956	CDS	576			K05501	Nucleoid occlusion factor SlmA
spo0C	Brachy_900_8.fa	LJFCBDKD_03506	CDS	1305		COG1475	K03497	Chromosome-partitioning protein Spo0J
ssb2	Brachy_900_8.fa	LJFCBDKD_01280	CDS	432		COG0629	K03111	Single-stranded DNA-binding protein 2
styD	Brevi_341_13.fa	AGEJDLBK_01921	CDS	1512	1.2.1.39		K00146	Phenylacetaldehyde dehydrogenase
ttuC'	SEQ_900_4	LKFOIOBI_00675	CDS	1098	1.1.1.93		K07246 	putative tartrate dehydrogenase/decarboxylase TtuC'
xerS	NA	NA	NA	NA	NA	NA	K14059 	NA
ydhK	SEQ_908_10	MOFHFCGN_02705	CDS	546			K12360	putative protein YdhK
ydiS	Brevi_900_6.fa	LDOPIMGM_00171	CDS	1824	3.1.21.4	COG1401	K00313	Type-2 restriction enzyme BsuMI component YdiS
ydjP	Brevi_900_6.fa	LDOPIMGM_01531	CDS	885	3.-.-.-	COG0596	K01076	AB hydrolase superfamily protein YdjP
yesO	Brachy_876_9.fa	AGBMBALL_01550	CDS	1323		COG1653	K10192	Putative ABC transporter substrate-binding protein YesO
yhcR	Brevi_900_6.fa	LDOPIMGM_01680	CDS	2652	3.1.31.-	COG0737	K01081	Endonuclease YhcR
yhjX	Brachy_908_11.fa	DPNJBGPE_01217	CDS	1572			K08177	putative MFS-type transporter YhjX
yijE	Brevi_900_6.fa	LDOPIMGM_03259	CDS	1023			K13869	putative cystine transporter YijE
yjcD	SEQ_900_4	LKFOIOBI_01829	CDS	2139	3.6.4.12	COG0210	K03657 	Putative ATP-dependent DNA helicase YjcD
