"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","SEQ_341_10","SEQ_738_7","SEQ_862_5","SEQ_876_5","SEQ_900_4","SEQ_908_10","SEQ_947_12","SEQ_962_6","SEQ_BC9"
"fatC","","Ferric-anguibactin transport system permease protein FatC","9","9","1","14","3873","","","","959","959","959","FAGDNHIP_01780","BGMKIKPO_01771","HGOKLDLI_00181","IGOCDMGC_01044","LKFOIOBI_02275","MOFHFCGN_00179","IFGBOHMA_01153","PIPEENFB_00492","EPECHOLL_00549"
"dtpT_2","","Di-/tripeptide transporter","9","9","1","14","3880","","","","1514","1514","1514","FAGDNHIP_01787","BGMKIKPO_01764","HGOKLDLI_00174","IGOCDMGC_01051","LKFOIOBI_02282","MOFHFCGN_00172","IFGBOHMA_01146","PIPEENFB_00499","EPECHOLL_00542"
"group_1002","","Putative lipid kinase","9","9","1","14","3882","","","","959","959","959","FAGDNHIP_01789","BGMKIKPO_01762","HGOKLDLI_00172","IGOCDMGC_01053","LKFOIOBI_02284","MOFHFCGN_00170","IFGBOHMA_01144","PIPEENFB_00501","EPECHOLL_00540"
"opuBB","","Choline transport system permease protein OpuBB","9","9","1","14","3885","","","","1514","1514","1514","FAGDNHIP_01792","BGMKIKPO_01759","HGOKLDLI_00169","IGOCDMGC_01056","LKFOIOBI_02287","MOFHFCGN_00167","IFGBOHMA_01141","PIPEENFB_00504","EPECHOLL_02043"
"opuBA","","Choline transport ATP-binding protein OpuBA","9","9","1","14","3886","","","","965","965","965","FAGDNHIP_01793","BGMKIKPO_01758","HGOKLDLI_00168","IGOCDMGC_01057","LKFOIOBI_02288","MOFHFCGN_00166","IFGBOHMA_01140","PIPEENFB_00505","EPECHOLL_02042"
"ltaS","","Lipoteichoic acid synthase","9","9","1","14","3890","","","","1940","1943","1940","FAGDNHIP_01797","BGMKIKPO_01754","HGOKLDLI_00164","IGOCDMGC_01061","LKFOIOBI_02292","MOFHFCGN_00162","IFGBOHMA_01136","PIPEENFB_00509","EPECHOLL_02038"
"kipI_2","","Kinase A inhibitor","9","9","1","14","3892","","","","707","707","707","FAGDNHIP_01799","BGMKIKPO_01752","HGOKLDLI_00162","IGOCDMGC_01063","LKFOIOBI_02294","MOFHFCGN_00160","IFGBOHMA_01134","PIPEENFB_00511","EPECHOLL_02036"
"pabB_1","","Aminodeoxychorismate synthase component 1","9","9","1","14","3895","","","","1142","1142","1142","FAGDNHIP_01801","BGMKIKPO_01750","HGOKLDLI_00160","IGOCDMGC_01065","LKFOIOBI_02296","MOFHFCGN_00158","IFGBOHMA_01132","PIPEENFB_00513","EPECHOLL_02033"
"queC","","7-cyano-7-deazaguanine synthase","9","9","1","14","3897","","","","671","671","671","FAGDNHIP_01803","BGMKIKPO_01748","HGOKLDLI_00158","IGOCDMGC_01067","LKFOIOBI_02298","MOFHFCGN_00156","IFGBOHMA_01130","PIPEENFB_00515","EPECHOLL_02031"
"queD","","6-carboxy-5,6,7,8-tetrahydropterin synthase","9","9","1","14","3898","","","","425","425","425","FAGDNHIP_01804","BGMKIKPO_01747","HGOKLDLI_00157","IGOCDMGC_01068","LKFOIOBI_02299","MOFHFCGN_00155","IFGBOHMA_01129","PIPEENFB_00516","EPECHOLL_02030"
"csbB_1","","Putative glycosyltransferase CsbB","9","9","1","14","3902","","","","1064","1064","1064","FAGDNHIP_01808","BGMKIKPO_01743","HGOKLDLI_00153","IGOCDMGC_01072","LKFOIOBI_02303","MOFHFCGN_00151","IFGBOHMA_01125","PIPEENFB_00520","EPECHOLL_02026"
"group_1011","","putative oxidoreductase/MSMEI_2347","9","9","1","14","3903","","","","839","839","839","FAGDNHIP_01809","BGMKIKPO_01742","HGOKLDLI_00152","IGOCDMGC_01073","LKFOIOBI_02304","MOFHFCGN_00150","IFGBOHMA_01124","PIPEENFB_00521","EPECHOLL_02025"
"group_1012","","hypothetical protein","9","9","1","14","3904","","","","1349","1349","1349","FAGDNHIP_01810","BGMKIKPO_01741","HGOKLDLI_00151","IGOCDMGC_01074","LKFOIOBI_02305","MOFHFCGN_00149","IFGBOHMA_01123","PIPEENFB_00522","EPECHOLL_02024"
"nagA","","N-acetylglucosamine-6-phosphate deacetylase","9","9","1","14","3905","","","","1157","1157","1157","FAGDNHIP_01811","BGMKIKPO_01740","HGOKLDLI_00150","IGOCDMGC_01075","LKFOIOBI_02306","MOFHFCGN_00148","IFGBOHMA_01122","PIPEENFB_00523","EPECHOLL_02023"
"fruA","","PTS system fructose-specific EIIABC component","9","9","1","14","3906","","","","1931","1931","1931","FAGDNHIP_01812","BGMKIKPO_01739","HGOKLDLI_00149","IGOCDMGC_01076","LKFOIOBI_02307","MOFHFCGN_00147","IFGBOHMA_01121","PIPEENFB_00524","EPECHOLL_02022"
"lacC","","Tagatose-6-phosphate kinase","9","9","1","14","3907","","","","923","923","923","FAGDNHIP_01813","BGMKIKPO_01738","HGOKLDLI_00148","IGOCDMGC_01077","LKFOIOBI_02308","MOFHFCGN_00146","IFGBOHMA_01120","PIPEENFB_00525","EPECHOLL_02021"
"tetA_1","","Tetracycline resistance protein, class B","9","9","1","14","3913","","","","1160","1160","1160","FAGDNHIP_01818","BGMKIKPO_01733","HGOKLDLI_00143","IGOCDMGC_01082","LKFOIOBI_02313","MOFHFCGN_00141","IFGBOHMA_01115","PIPEENFB_00530","EPECHOLL_02016"
"group_1017","","hypothetical protein","9","9","1","14","3914","","","","419","419","419","FAGDNHIP_01819","BGMKIKPO_01732","HGOKLDLI_00142","IGOCDMGC_01083","LKFOIOBI_02314","MOFHFCGN_00140","IFGBOHMA_01114","PIPEENFB_00531","EPECHOLL_02015"
"group_1018","","hypothetical protein","9","9","1","14","3915","","","","617","617","617","FAGDNHIP_01820","BGMKIKPO_01731","HGOKLDLI_00141","IGOCDMGC_01084","LKFOIOBI_02315","MOFHFCGN_00139","IFGBOHMA_01113","PIPEENFB_00532","EPECHOLL_02014"
"ydhF","","Oxidoreductase YdhF","9","9","1","14","3921","","","","908","908","908","FAGDNHIP_01825","BGMKIKPO_01726","HGOKLDLI_00136","IGOCDMGC_01089","LKFOIOBI_02321","MOFHFCGN_00134","IFGBOHMA_01108","PIPEENFB_00537","EPECHOLL_02008"
"group_1020","","Putative multidrug export ATP-binding/permease protein","9","9","1","14","3924","","","","1676","1676","1676","FAGDNHIP_01828","BGMKIKPO_01723","HGOKLDLI_00133","IGOCDMGC_01092","LKFOIOBI_02324","MOFHFCGN_00131","IFGBOHMA_01105","PIPEENFB_00540","EPECHOLL_02005"
"cydD","","ATP-binding/permease protein CydD","9","9","1","14","3925","","","","1631","1631","1631","FAGDNHIP_01829","BGMKIKPO_01722","HGOKLDLI_00132","IGOCDMGC_01093","LKFOIOBI_02325","MOFHFCGN_00130","IFGBOHMA_01104","PIPEENFB_00541","EPECHOLL_02004"
"uppP","","Undecaprenyl-diphosphatase","9","9","1","14","3926","","","","875","875","875","FAGDNHIP_01830","BGMKIKPO_01721","HGOKLDLI_00131","IGOCDMGC_01094","LKFOIOBI_02326","MOFHFCGN_00129","IFGBOHMA_01103","PIPEENFB_00542","EPECHOLL_02003"
"group_1023","","hypothetical protein","9","9","1","14","3927","","","","701","701","701","FAGDNHIP_01831","BGMKIKPO_01720","HGOKLDLI_00130","IGOCDMGC_01095","LKFOIOBI_02327","MOFHFCGN_00128","IFGBOHMA_01102","PIPEENFB_00543","EPECHOLL_02002"
"group_1024","","hypothetical protein","9","9","1","14","3934","","","","566","575","574","FAGDNHIP_01835","BGMKIKPO_01715","HGOKLDLI_00125","IGOCDMGC_01100","LKFOIOBI_02331","MOFHFCGN_00124","IFGBOHMA_01097","PIPEENFB_00548","EPECHOLL_01997"
"group_1025","","hypothetical protein","9","9","1","14","3935","","","","296","296","296","FAGDNHIP_01836","BGMKIKPO_01714","HGOKLDLI_00124","IGOCDMGC_01101","LKFOIOBI_02332","MOFHFCGN_00123","IFGBOHMA_01096","PIPEENFB_00549","EPECHOLL_01996"
"group_1026","","hypothetical protein","9","9","1","14","3938","","","","683","683","683","FAGDNHIP_01839","BGMKIKPO_01711","HGOKLDLI_00121","IGOCDMGC_01104","LKFOIOBI_02335","MOFHFCGN_00120","IFGBOHMA_01093","PIPEENFB_00552","EPECHOLL_01993"
"group_1027","","hypothetical protein","9","9","1","14","3943","","","","725","728","725","FAGDNHIP_01844","BGMKIKPO_01706","HGOKLDLI_00116","IGOCDMGC_01109","LKFOIOBI_02340","MOFHFCGN_00115","IFGBOHMA_01088","PIPEENFB_00557","EPECHOLL_01988"
"sarX","","HTH-type transcriptional regulator SarX","9","9","1","14","3948","","","","356","449","366","FAGDNHIP_01848","BGMKIKPO_01702","HGOKLDLI_00112","IGOCDMGC_01113","LKFOIOBI_02344","MOFHFCGN_00111","IFGBOHMA_01084","PIPEENFB_00561","EPECHOLL_01984"
"graS","","Sensor histidine kinase GraS","9","9","1","14","3953","","","","1028","1028","1028","FAGDNHIP_01853","BGMKIKPO_01697","HGOKLDLI_00107","IGOCDMGC_01118","LKFOIOBI_02349","MOFHFCGN_00106","IFGBOHMA_01079","PIPEENFB_00566","EPECHOLL_01979"
"group_1030","","hypothetical protein","9","9","1","14","3958","","","","1067","1067","1067","FAGDNHIP_01858","BGMKIKPO_01692","HGOKLDLI_00102","IGOCDMGC_01123","LKFOIOBI_02354","MOFHFCGN_00101","IFGBOHMA_01074","PIPEENFB_00571","EPECHOLL_01974"
"dhaM","","PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM","9","9","1","14","3960","","","","362","362","362","FAGDNHIP_01860","BGMKIKPO_01690","HGOKLDLI_00100","IGOCDMGC_01125","LKFOIOBI_02356","MOFHFCGN_00099","IFGBOHMA_01072","PIPEENFB_00573","EPECHOLL_01972"
"dhaK","","PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK","9","9","1","14","3962","","","","965","965","965","FAGDNHIP_01862","BGMKIKPO_01688","HGOKLDLI_00098","IGOCDMGC_01127","LKFOIOBI_02358","MOFHFCGN_00097","IFGBOHMA_01070","PIPEENFB_00575","EPECHOLL_01970"
"feuC","","Iron-uptake system permease protein FeuC","9","9","1","14","3963","","","","1016","1016","1016","FAGDNHIP_01863","BGMKIKPO_01687","HGOKLDLI_00097","IGOCDMGC_01128","LKFOIOBI_02359","MOFHFCGN_00096","IFGBOHMA_01069","PIPEENFB_00576","EPECHOLL_01969"
