genes	com_341	com_738	com_862	com_876	com_900	com_908	com_947	com_962	com_JB	locus_tag	ftype	bp	EC	COG	product
aaaT	1	1	1	1	1	1	1	1	1	IGOCDMGC_01121	CDS	507	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
aam	1	1	1	1	1	1	1	1	1	LDOPIMGM_02326	CDS	1449	3.5.1.13	COG0154	Acylamidase
aas	1	1	1	1	1	1	1	1	1	HAJKDPKL_02666	CDS	993		COG0204	Bifunctional protein Aas
aat	1	1	1	1	1	1	1	1	1	IOFEINNK_01457	CDS	705	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
abfA	1	1	1	1	1	1	1	1	1	FOMIDEFL_03112	CDS	1524	3.2.1.55		Intracellular exo-alpha-(1->5)-L-arabinofuranosidase
abgB	1	1	1	1	1	1	1	1	1	MCMEOHNO_00792	CDS	1233	3.5.1.-	COG1473	p-aminobenzoyl-glutamate hydrolase subunit B
abgT	1	1	1	1	1	1	1	1	1	LDOPIMGM_01817	CDS	1584		COG2978	p-aminobenzoyl-glutamate transport protein
accA	1	1	1	1	1	1	1	1	1	BGMKIKPO_02580	CDS	945	6.4.1.2		Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
accB	1	1	1	1	1	1	1	1	1	LKFOIOBI_01114	CDS	474		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
accC	1	1	1	1	1	1	1	1	1	EPECHOLL_00993	CDS	1359	6.3.4.14	COG0439	Biotin carboxylase
accD	1	1	1	1	1	1	1	1	1	MOFHFCGN_01326	CDS	867	6.4.1.2	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
accD3	1	1	1	1	1	1	1	1	1	ADMANBBD_03161	CDS	1503	6.4.1.2	COG0777	Putative acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
accD5	1	1	1	1	1	1	1	1	1	HAJKDPKL_01967	CDS	1590	6.4.1.3	COG4799	putative propionyl-CoA carboxylase beta chain 5
acdA	1	1	1	1	1	1	1	1	1	MCCDGJGB_00807	CDS	1167	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
acdS	1	1	1	1	1	1	1	1	1	ADMANBBD_02463	CDS	1017	3.5.99.7		1-aminocyclopropane-1-carboxylate deaminase
aceB	1	1	1	1	1	1	1	1	1	IOFEINNK_02639	CDS	1605	2.3.3.9	COG2225	Malate synthase A
aceC	1	1	1	1	1	1	1	1	1	IOFEINNK_01846	CDS	1131	2.4.1.252		GDP-mannose:cellobiosyl-diphosphopolyprenol alpha-mannosyltransferase
aceE	1	1	1	1	1	1	1	1	1	FOMIDEFL_01554	CDS	2745	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
aceF	1	1	1	1	1	1	1	1	1	IOFEINNK_01464	CDS	1866	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
ackA	1	1	1	1	1	1	1	1	1	DPNJBGPE_00853	CDS	1269	2.7.2.1	COG0282	Acetate kinase
acm	1	1	1	1	1	1	1	1	1	DNNBHHGK_03111	CDS	807	3.2.1.17		Lysozyme M1
acnA	1	1	1	1	1	1	1	1	1	AGBMBALL_03021	CDS	2796	4.2.1.3	COG1048	Aconitate hydratase A
acoR	1	1	1	1	1	1	1	1	1	IOFEINNK_03451	CDS	1287		COG3284	Acetoin dehydrogenase operon transcriptional activator AcoR
acp	1	1	1	1	1	1	1	1	1	IGOCDMGC_00077	CDS	1572			Sodium/proton-dependent alanine carrier protein
acpP	1	1	1	1	1	1	1	1	1	DPNJBGPE_02635	CDS	249			Acyl carrier protein
acpS	1	1	1	1	1	1	1	1	1	MCMEOHNO_00154	CDS	606	2.7.8.7		Holo-[acyl-carrier-protein] synthase
acr1	1	1	1	1	1	1	1	1	1	FOMIDEFL_01941	CDS	849	1.2.1.-	COG3320	Fatty acyl-CoA reductase
acr3	1	1	1	1	1	1	1	1	1	DPNJBGPE_01698	CDS	1152		COG0798	Arsenical-resistance protein Acr3
acrB	1	1	1	1	1	1	1	1	1	IHGJPHMH_00458	CDS	798			Acryloyl-CoA reductase electron transfer subunit gamma
acsA	1	1	1	1	1	1	1	1	1	IFGBOHMA_02057	CDS	1578	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
actIII	1	1	1	1	1	1	1	1	1	FAGDNHIP_01374	CDS	819	1.3.1.-		Putative ketoacyl reductase
acuA	1	1	1	1	1	1	1	1	1	PIPEENFB_01009	CDS	633	2.3.1.-		Acetoin utilization protein AcuA
acuC	1	1	1	1	1	1	1	1	1	MCCDGJGB_02538	CDS	1206			Acetoin utilization protein AcuC
acuI	1	1	1	1	1	1	1	1	1	FOMIDEFL_01922	CDS	978	1.3.1.84	COG0604	Acrylyl-CoA reductase AcuI
acyP	1	1	1	1	1	1	1	1	1	PIPEENFB_02289	CDS	270	3.6.1.7	COG1254	Acylphosphatase
add	1	1	1	1	1	1	1	1	1	GGCDANDK_03007	CDS	1113	3.5.4.4	COG1816	Adenosine deaminase
addA	1	1	1	1	1	1	1	1	1	IGOCDMGC_00114	CDS	3657	3.1.-.-		ATP-dependent helicase/nuclease subunit A
addB	1	1	1	1	1	1	1	1	1	AGEJDLBK_00242	CDS	3261	3.6.4.12		ATP-dependent helicase/deoxyribonuclease subunit B
adh	1	1	1	1	1	1	1	1	1	GGCDANDK_00537	CDS	1053	1.1.1.1		Alcohol dehydrogenase
adhA	1	1	1	1	1	1	1	1	1	IOFEINNK_00019	CDS	1035	1.1.1.-	COG1064	putative formaldehyde dehydrogenase AdhA
adk	1	1	1	1	1	1	1	1	1	DNNBHHGK_01301	CDS	633	2.7.4.3	COG0563	Adenylate kinase
aes	1	1	1	1	1	1	1	1	1	PIPEENFB_00570	CDS	1032	3.1.1.-	COG0657	Acetyl esterase
afr	1	1	1	1	1	1	1	1	1	LJFCBDKD_01896	CDS	1110	1.1.1.292		1,5-anhydro-D-fructose reductase
afsK	1	1	1	1	1	1	1	1	1	LDOPIMGM_00532	CDS	2091	2.7.11.1	COG0515	Serine/threonine-protein kinase AfsK
agaK	1	1	1	1	1	1	1	1	1	FOMIDEFL_00925	CDS	1149	2.7.1.-	COG1940	N-acetylgalactosamine kinase AgaK
