locus_tag	ftype	length_bp	gene	EC_number	COG	product
HAJKDPKL_00001	CDS	1197	tagE_1	2.4.1.52	COG0438	Poly(glycerol-phosphate) alpha-glucosyltransferase
HAJKDPKL_00002	CDS	1752	poxB	1.2.5.1	COG0028	Pyruvate dehydrogenase [ubiquinone]
HAJKDPKL_00003	CDS	468				hypothetical protein
HAJKDPKL_00004	CDS	3921		3.2.1.97		Endo-alpha-N-acetylgalactosaminidase
HAJKDPKL_00005	CDS	1323				hypothetical protein
HAJKDPKL_00006	CDS	129				hypothetical protein
HAJKDPKL_00007	CDS	978	flp			Protein flp
HAJKDPKL_00008	CDS	1209				hypothetical protein
HAJKDPKL_00009	CDS	822	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
HAJKDPKL_00010	CDS	1263	macB_1	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
HAJKDPKL_00011	CDS	237				hypothetical protein
HAJKDPKL_00012	CDS	915	sigJ_1			ECF RNA polymerase sigma factor SigJ
HAJKDPKL_00013	CDS	1014		3.2.1.55	COG3940	Extracellular exo-alpha-(1->5)-L-arabinofuranosidase
HAJKDPKL_00014	CDS	1080				hypothetical protein
HAJKDPKL_00015	CDS	1122	egtC	3.5.1.118	COG0121	Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase
HAJKDPKL_00016	CDS	423				hypothetical protein
HAJKDPKL_00017	CDS	1095				hypothetical protein
HAJKDPKL_00018	CDS	1284	narX	2.7.13.3		Nitrate/nitrite sensor protein NarX
HAJKDPKL_00019	CDS	783	liaR_1		COG2197	Transcriptional regulatory protein LiaR
HAJKDPKL_00020	CDS	735	sphR		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein SphR
HAJKDPKL_00021	CDS	921	yxlF_1	3.6.3.-	COG1131	putative ABC transporter ATP-binding protein YxlF
HAJKDPKL_00022	CDS	783				hypothetical protein
HAJKDPKL_00023	CDS	909	walK	2.7.13.3		Sensor protein kinase WalK
HAJKDPKL_00024	CDS	177				hypothetical protein
HAJKDPKL_00025	CDS	762				hypothetical protein
HAJKDPKL_00026	CDS	981	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
HAJKDPKL_00027	CDS	510				hypothetical protein
HAJKDPKL_00028	CDS	537				hypothetical protein
HAJKDPKL_00029	CDS	987	ala	1.4.1.1		Alanine dehydrogenase
HAJKDPKL_00030	CDS	423	ohrB_1		COG1764	Organic hydroperoxide resistance protein OhrB
HAJKDPKL_00031	CDS	591	ohrR			Organic hydroperoxide resistance transcriptional regulator
HAJKDPKL_00032	CDS	369				putative HTH-type transcriptional regulator
HAJKDPKL_00033	CDS	1791	dauA_1		COG0659	C4-dicarboxylic acid transporter DauA
HAJKDPKL_00034	CDS	2658				hypothetical protein
HAJKDPKL_00035	CDS	1173	yecS_1		COG0765	L-cystine transport system permease protein YecS
HAJKDPKL_00036	CDS	1155	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
HAJKDPKL_00037	CDS	999	fliY		COG0834	L-cystine-binding protein FliY
HAJKDPKL_00038	CDS	1077	moxC	1.14.-.-	COG2141	Putative monooxygenase MoxC
HAJKDPKL_00039	CDS	1377	ntaA	1.14.14.10		Nitrilotriacetate monooxygenase component A
HAJKDPKL_00040	CDS	924	gltC_1			HTH-type transcriptional regulator GltC
HAJKDPKL_00041	CDS	516				hypothetical protein
HAJKDPKL_00042	CDS	285	yciI		COG2350	Protein YciI
HAJKDPKL_00043	CDS	513				hypothetical protein
HAJKDPKL_00044	CDS	789	fbpA	2.3.1.122	COG0627	Diacylglycerol acyltransferase/mycolyltransferase Ag85A
HAJKDPKL_00045	CDS	1476		3.2.1.54		Cyclomaltodextrinase
HAJKDPKL_00046	CDS	354				hypothetical protein
HAJKDPKL_00047	CDS	1974		3.6.3.-		Putative multidrug export ATP-binding/permease protein
HAJKDPKL_00048	CDS	1818			COG1132	putative ABC transporter ATP-binding protein
HAJKDPKL_00049	CDS	285				hypothetical protein
HAJKDPKL_00050	CDS	1149				hypothetical protein
HAJKDPKL_00051	CDS	669				hypothetical protein
HAJKDPKL_00052	CDS	516				hypothetical protein
HAJKDPKL_00053	CDS	654		2.8.3.-	COG1670	Putative succinyl-CoA transferase
HAJKDPKL_00054	CDS	630	pcp	3.4.19.3	COG2039	Pyrrolidone-carboxylate peptidase
HAJKDPKL_00055	CDS	918	gluP	3.4.21.105	COG0705	Rhomboid protease GluP
HAJKDPKL_00056	CDS	1182				hypothetical protein
HAJKDPKL_00057	CDS	2364	ydfJ_1		COG2409	Membrane protein YdfJ
HAJKDPKL_00058	CDS	537	cypB	5.2.1.8		Peptidyl-prolyl cis-trans isomerase B
HAJKDPKL_00059	CDS	786				hypothetical protein
HAJKDPKL_00060	CDS	768				hypothetical protein
HAJKDPKL_00061	CDS	357				hypothetical protein
HAJKDPKL_00062	CDS	939	gltX1	6.1.1.17		Glutamate--tRNA ligase 1
HAJKDPKL_00063	CDS	3237	smc_1			Chromosome partition protein Smc
HAJKDPKL_00064	CDS	1443	rkpK	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
HAJKDPKL_00065	CDS	2640				hypothetical protein
HAJKDPKL_00066	CDS	1962		3.6.3.-		Putative multidrug export ATP-binding/permease protein
HAJKDPKL_00067	CDS	1257	pimB_1	2.4.1.346	COG0438	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase
HAJKDPKL_00068	CDS	1365		2.4.1.11	COG0438	Glycogen synthase
HAJKDPKL_00069	CDS	1194	murG_1	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
HAJKDPKL_00070	CDS	3405		3.6.3.-		Putative multidrug export ATP-binding/permease protein
HAJKDPKL_00071	CDS	714				hypothetical protein
HAJKDPKL_00072	CDS	186				hypothetical protein
HAJKDPKL_00073	CDS	951	catE	1.13.11.2	COG2514	Catechol-2,3-dioxygenase
HAJKDPKL_00074	CDS	2229	glpB	1.1.5.3		Anaerobic glycerol-3-phosphate dehydrogenase subunit B
HAJKDPKL_00075	CDS	909	ybbH_1		COG1737	putative HTH-type transcriptional regulator YbbH
HAJKDPKL_00076	CDS	963	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
HAJKDPKL_00077	CDS	975	lacF_1			Lactose transport system permease protein LacF
HAJKDPKL_00078	CDS	1308				hypothetical protein
HAJKDPKL_00079	CDS	1005	axeA_1	3.1.1.41	COG3458	Cephalosporin-C deacetylase
HAJKDPKL_00080	CDS	1233	abgB_1	3.5.1.-	COG1473	p-aminobenzoyl-glutamate hydrolase subunit B
HAJKDPKL_00081	CDS	690				Bifunctional NMN adenylyltransferase/Nudix hydrolase
HAJKDPKL_00082	CDS	1008	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase class 2
HAJKDPKL_00083	CDS	450				hypothetical protein
HAJKDPKL_00084	CDS	1260	bcr_1			Bicyclomycin resistance protein
HAJKDPKL_00085	CDS	936	ydhF	1.-.-.-	COG4989	Oxidoreductase YdhF
HAJKDPKL_00086	CDS	1041	gfo_1	1.1.99.28		Glucose--fructose oxidoreductase
HAJKDPKL_00087	CDS	129				hypothetical protein
HAJKDPKL_00088	CDS	1725	putP_1		COG0591	High-affinity proline transporter PutP
HAJKDPKL_00089	CDS	897	dcsG	6.3.3.5		Cycloserine biosynthesis protein DcsG
HAJKDPKL_00090	CDS	1434				hypothetical protein
HAJKDPKL_00091	CDS	921	lacF_2			Lactose transport system permease protein LacF
HAJKDPKL_00092	CDS	933	ycjP_1		COG0395	Inner membrane ABC transporter permease protein YcjP
HAJKDPKL_00093	CDS	951	ybbH_2		COG1737	putative HTH-type transcriptional regulator YbbH
HAJKDPKL_00094	CDS	795				hypothetical protein
HAJKDPKL_00095	CDS	2085		3.2.1.23		Beta-galactosidase
HAJKDPKL_00096	CDS	1056	axeA_2	3.1.1.41	COG3458	Cephalosporin-C deacetylase
HAJKDPKL_00097	CDS	1050	cytR_1		COG1609	HTH-type transcriptional repressor CytR
HAJKDPKL_00098	CDS	927	araQ_2		COG0395	L-arabinose transport system permease protein AraQ
HAJKDPKL_00099	CDS	975	yteP_1		COG4209	putative multiple-sugar transport system permease YteP
HAJKDPKL_00100	CDS	1674	lipO_1		COG1653	Lipoprotein LipO
HAJKDPKL_00101	CDS	702				hypothetical protein
HAJKDPKL_00102	CDS	1254	rsgI6	3.2.1.8		Anti-sigma-I factor RsgI6
HAJKDPKL_00103	CDS	2388	bglB	3.2.1.21	COG1472	Thermostable beta-glucosidase B
HAJKDPKL_00104	CDS	1398	xylB_1	2.7.1.17	COG1070	Xylulose kinase
HAJKDPKL_00105	CDS	1194	xylA_1	5.3.1.5		Xylose isomerase
HAJKDPKL_00106	CDS	1170	nagC_1		COG1940	N-acetylglucosamine repressor
HAJKDPKL_00107	CDS	1260	iolG_1	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
HAJKDPKL_00108	CDS	816				hypothetical protein
HAJKDPKL_00109	CDS	1122	afr_1	1.1.1.292		1,5-anhydro-D-fructose reductase
HAJKDPKL_00110	CDS	1005				hypothetical protein
HAJKDPKL_00111	CDS	588				hypothetical protein
HAJKDPKL_00112	CDS	1572	yidE			Putative transport protein YidE
HAJKDPKL_00113	CDS	726				hypothetical protein
HAJKDPKL_00114	CDS	1155	iolG_2	1.1.1.18	COG0673	Inositol 2-dehydrogenase
HAJKDPKL_00115	CDS	1089	yhhX	1.-.-.-	COG0673	putative oxidoreductase YhhX
HAJKDPKL_00116	CDS	1317	lacE_1			Lactose-binding protein
HAJKDPKL_00117	CDS	960	araP_1		COG1175	L-arabinose transport system permease protein AraP
HAJKDPKL_00118	CDS	822	sugB_1		COG0395	Trehalose transport system permease protein SugB
HAJKDPKL_00119	CDS	1416	ygbN_1		COG2610	Inner membrane permease YgbN
HAJKDPKL_00120	CDS	258				hypothetical protein
HAJKDPKL_00121	CDS	1149	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
HAJKDPKL_00122	CDS	600				hypothetical protein
HAJKDPKL_00123	CDS	1515	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
HAJKDPKL_00124	CDS	1005	idnD	1.1.1.264	COG1063	L-idonate 5-dehydrogenase (NAD(P)(+))
HAJKDPKL_00125	CDS	654	kdgA		COG0800	KHG/KDPG aldolase
HAJKDPKL_00126	CDS	984	kdgK	2.7.1.45		2-dehydro-3-deoxygluconokinase
HAJKDPKL_00127	CDS	1083	nemA	1.-.-.-	COG1902	N-ethylmaleimide reductase
HAJKDPKL_00128	CDS	441			COG1846	putative HTH-type transcriptional regulator
HAJKDPKL_00129	CDS	1305	yfmO			Multidrug efflux protein YfmO
HAJKDPKL_00130	CDS	1359			COG2239	Magnesium transporter MgtE
HAJKDPKL_00131	CDS	1830				hypothetical protein
HAJKDPKL_00132	CDS	1248		4.2.1.8	COG4948	D-mannonate dehydratase
HAJKDPKL_00133	CDS	984	hprA_1	1.1.1.29	COG1052	Glycerate dehydrogenase
HAJKDPKL_00134	CDS	837	kduI	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
HAJKDPKL_00135	CDS	1302	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
HAJKDPKL_00136	CDS	504	siaQ_1		COG3090	Sialic acid TRAP transporter small permease protein SiaQ
HAJKDPKL_00137	CDS	1035	dctP_1		COG1638	Solute-binding protein
HAJKDPKL_00138	CDS	798	iclR_1		COG1414	Transcriptional repressor IclR
HAJKDPKL_00139	CDS	777				hypothetical protein
HAJKDPKL_00140	CDS	963	afr_2	1.1.1.292		1,5-anhydro-D-fructose reductase
HAJKDPKL_00141	CDS	1014	iolG_3	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
HAJKDPKL_00142	CDS	1299	pbuE		COG2814	Purine efflux pump PbuE
HAJKDPKL_00143	CDS	615				hypothetical protein
HAJKDPKL_00144	CDS	576				hypothetical protein
HAJKDPKL_00145	CDS	1116	bag			IgA FC receptor
HAJKDPKL_00146	CDS	852				hypothetical protein
HAJKDPKL_00147	CDS	729	dhaL-2	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase 2, ADP-binding subunit DhaL
HAJKDPKL_00148	CDS	999	dhaK	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
HAJKDPKL_00149	CDS	675		5.4.2.12	COG0406	PE-PGRS family protein PE_PGRS11
HAJKDPKL_00150	CDS	1443	pehA	3.1.4.-		Multifunctional alkaline phosphatase superfamily protein PehA
HAJKDPKL_00151	CDS	1053	iolS_2	1.1.1.-	COG0667	Aldo-keto reductase IolS
HAJKDPKL_00152	CDS	303				hypothetical protein
HAJKDPKL_00153	CDS	426	nudG_1	3.6.1.65	COG0494	CTP pyrophosphohydrolase
HAJKDPKL_00154	CDS	1287				hypothetical protein
HAJKDPKL_00155	CDS	1338				hypothetical protein
HAJKDPKL_00156	CDS	234				hypothetical protein
HAJKDPKL_00157	CDS	228				hypothetical protein
HAJKDPKL_00158	CDS	1263	natA_1		COG4555	ABC transporter ATP-binding protein NatA
HAJKDPKL_00159	CDS	1092				hypothetical protein
HAJKDPKL_00160	CDS	1782				hypothetical protein
HAJKDPKL_00161	CDS	711	recR		COG0353	Recombination protein RecR
HAJKDPKL_00162	CDS	1326				hypothetical protein
HAJKDPKL_00163	CDS	531				hypothetical protein
HAJKDPKL_00164	CDS	3516	dnaX_1	2.7.7.7	COG2812	DNA polymerase III subunit gamma/tau
HAJKDPKL_00165	CDS	1335				hypothetical protein
HAJKDPKL_00166	CDS	417				hypothetical protein
HAJKDPKL_00167	CDS	1476	dctA		COG1301	C4-dicarboxylate transport protein
HAJKDPKL_00168	CDS	1413				hypothetical protein
HAJKDPKL_00169	CDS	2451				hypothetical protein
HAJKDPKL_00170	CDS	1371			COG1090	Epimerase family protein
HAJKDPKL_00171	CDS	927				hypothetical protein
HAJKDPKL_00172	CDS	1578	acp			Sodium/proton-dependent alanine carrier protein
HAJKDPKL_00173	CDS	1005	gpr_1	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
HAJKDPKL_00174	CDS	1524	thcA	1.2.1.3	COG1012	EPTC-inducible aldehyde dehydrogenase
HAJKDPKL_00175	CDS	393				hypothetical protein
HAJKDPKL_00176	CDS	789				hypothetical protein
HAJKDPKL_00177	CDS	903	rhaS			HTH-type transcriptional activator RhaS
HAJKDPKL_00178	CDS	1251			COG0654	putative protein
HAJKDPKL_00179	CDS	177				hypothetical protein
HAJKDPKL_00180	CDS	456	higA1		COG1396	Antitoxin HigA1
HAJKDPKL_00181	CDS	312				hypothetical protein
HAJKDPKL_00182	CDS	351				hypothetical protein
HAJKDPKL_00183	CDS	345				hypothetical protein
HAJKDPKL_00184	CDS	258				hypothetical protein
HAJKDPKL_00185	tRNA	75				tRNA-Thr(cgt)
HAJKDPKL_00186	CDS	1632	caeA	3.1.1.-		Carboxylesterase A
HAJKDPKL_00187	CDS	735				hypothetical protein
HAJKDPKL_00188	CDS	984	nosF		COG1131	putative ABC transporter ATP-binding protein NosF
HAJKDPKL_00189	CDS	1119	liaS_1	2.7.13.3	COG4585	Sensor histidine kinase LiaS
HAJKDPKL_00190	CDS	687	liaR_2		COG2197	Transcriptional regulatory protein LiaR
HAJKDPKL_00191	CDS	450				hypothetical protein
HAJKDPKL_00192	tRNA	74				tRNA-Glu(ttc)
HAJKDPKL_00193	tRNA	76				tRNA-Asp(gtc)
HAJKDPKL_00194	CDS	1023	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
HAJKDPKL_00195	tRNA	74				tRNA-Phe(gaa)
HAJKDPKL_00196	CDS	606				hypothetical protein
HAJKDPKL_00197	CDS	1143				hypothetical protein
HAJKDPKL_00198	CDS	363				hypothetical protein
HAJKDPKL_00199	CDS	1161	mvaS	2.3.3.10	COG3425	Hydroxymethylglutaryl-CoA synthase
HAJKDPKL_00200	CDS	1053				hypothetical protein
HAJKDPKL_00201	CDS	1134	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
HAJKDPKL_00202	CDS	1092		2.7.4.2		Phosphomevalonate kinase
HAJKDPKL_00203	CDS	969				hypothetical protein
HAJKDPKL_00204	CDS	1050	galK_1	2.7.1.6		Galactokinase
HAJKDPKL_00205	CDS	522				hypothetical protein
HAJKDPKL_00206	CDS	1167				hypothetical protein
HAJKDPKL_00207	CDS	1686	fhs	6.3.4.3		Formate--tetrahydrofolate ligase
HAJKDPKL_00208	CDS	606	mrpG		COG1320	Na(+)/H(+) antiporter subunit G
HAJKDPKL_00209	CDS	678				hypothetical protein
HAJKDPKL_00210	CDS	537				hypothetical protein
HAJKDPKL_00211	CDS	1563	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
HAJKDPKL_00212	CDS	657	mrpC		COG1006	Na(+)/H(+) antiporter subunit C
HAJKDPKL_00213	CDS	2934	mrpA		COG1009	Na(+)/H(+) antiporter subunit A
HAJKDPKL_00214	CDS	1392				hypothetical protein
HAJKDPKL_00215	CDS	828				hypothetical protein
HAJKDPKL_00216	CDS	633	dcd	3.5.4.13	COG0717	dCTP deaminase
HAJKDPKL_00217	tRNA	72				tRNA-Gly(ccc)
HAJKDPKL_00218	CDS	576	slmA			Nucleoid occlusion factor SlmA
HAJKDPKL_00219	CDS	2526				hypothetical protein
HAJKDPKL_00220	CDS	1941	dipZ_1		COG0785	Protein DipZ
HAJKDPKL_00221	CDS	699	hxpB	3.1.3.68	COG0637	Hexitol phosphatase B
HAJKDPKL_00222	CDS	711	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
HAJKDPKL_00223	CDS	1299	mgl_1	4.4.1.11	COG0626	L-methionine gamma-lyase
HAJKDPKL_00224	CDS	1704	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
HAJKDPKL_00225	CDS	978	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
HAJKDPKL_00226	CDS	990	murK	2.7.1.-	COG2971	N-acetylmuramic acid/N-acetylglucosamine kinase
HAJKDPKL_00227	CDS	657				hypothetical protein
HAJKDPKL_00228	CDS	1428	pamO	1.14.13.92	COG2072	Phenylacetone monooxygenase
HAJKDPKL_00229	CDS	1929				hypothetical protein
HAJKDPKL_00230	CDS	414	crcB_1			Putative fluoride ion transporter CrcB
HAJKDPKL_00231	CDS	558	crcB_2			Putative fluoride ion transporter CrcB
HAJKDPKL_00232	CDS	1554	pdhC	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
HAJKDPKL_00233	CDS	993	bkdB	1.2.4.4	COG0022	3-methyl-2-oxobutanoate dehydrogenase subunit beta
HAJKDPKL_00234	CDS	1140	bkdA	1.2.4.4	COG1071	3-methyl-2-oxobutanoate dehydrogenase subunit alpha
HAJKDPKL_00235	CDS	1233	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
HAJKDPKL_00236	CDS	1575	nagZ_1	3.2.1.52	COG1472	Beta-hexosaminidase
HAJKDPKL_00237	CDS	222				hypothetical protein
HAJKDPKL_00238	CDS	1209				hypothetical protein
HAJKDPKL_00239	CDS	1293		3.2.1.-		Glycosyl hydrolase family 109 protein 1
HAJKDPKL_00240	CDS	1329	sauU_1			putative sulfoacetate transporter SauU
HAJKDPKL_00241	CDS	1323	trpB_1	4.2.1.20	COG0133	Tryptophan synthase beta chain
HAJKDPKL_00242	CDS	294				hypothetical protein
HAJKDPKL_00243	CDS	1125	pat	2.6.1.-	COG0079	Putative phenylalanine aminotransferase
HAJKDPKL_00244	CDS	399				hypothetical protein
HAJKDPKL_00245	CDS	1440	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
HAJKDPKL_00246	CDS	420	ricR_1		COG1937	Copper-sensing transcriptional repressor RicR
HAJKDPKL_00247	CDS	678		3.2.2.-	COG2094	Putative 3-methyladenine DNA glycosylase
HAJKDPKL_00248	CDS	726		1.-.-.-		putative oxidoreductase
