gene	com_738	Gene	Non.unique.Gene.name	Annotation	No..isolates	No..sequences	Avg.sequences.per.isolate	Genome.Fragment	Order.within.Fragment	Accessory.Fragment	Accessory.Order.with.Fragment	QC	Min.group.size.nuc	Max.group.size.nuc	Avg.group.size.nuc	com_341.fna	com_738.fna	com_862.fna	com_876.fna	com_900.fna	com_908.fna	com_947.fna	com_962.fna	com_JB.fna
acr3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adhR	1	adhR		HTH-type transcriptional regulator AdhR	1	1	1	1	10752	14	78		416	416	416		DEIPBNHI_02757							
aniA	1	aniA		Copper-containing nitrite reductase	9	9	1	1	12119	NA	NA		2819	2834	2826	GOJPHPBD_01204	DEIPBNHI_01563	LBLIGOHA_00279	IIFCLKFN_01815	BOFCGCOL_01010	KJABKPCK_00892	KLLDKJAP_00695	HHDJLLAI_01545	IFEKPJDH_02570
appA	1	appA		Oligopeptide-binding protein AppA	4	4	1	1	4853	1	744		1550	1550	1550	GOJPHPBD_07358				BOFCGCOL_07147	KJABKPCK_06070		HHDJLLAI_06153	
arsC1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
arsC2	1	arsC2		Arsenate-mycothiol transferase ArsC2	9	9	1	1	7454	NA	NA		416	455	424	GOJPHPBD_05334	DEIPBNHI_05713	LBLIGOHA_03984	IIFCLKFN_05524	BOFCGCOL_04026	KJABKPCK_03916	KLLDKJAP_06998	HHDJLLAI_06085	IFEKPJDH_07360
azoR	1	azoR		FMN-dependent NADH-azoreductase	1	1	1	2	1315	2	709		563	563	563		DEIPBNHI_08407							
bcs1	1	bcs1		Bifunctional ribulose 5-phosphate reductase/CDP-ribitol pyrophosphorylase Bcs1	1	1	1	1	4833	1	949		1424	1424	1424		DEIPBNHI_07396							
braC	1	braC		Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein	9	9	1	1	6010	NA	NA		1052	1226	1187	GOJPHPBD_04460	DEIPBNHI_07082	LBLIGOHA_05165	IIFCLKFN_04594	BOFCGCOL_06835	KJABKPCK_05908	KLLDKJAP_06754	HHDJLLAI_05843	IFEKPJDH_06979
clpE	1	clpE		ATP-dependent Clp protease ATP-binding subunit ClpE	1	1	1	48	30	1256	108		1913	1913	1913		DEIPBNHI_07739							
clpP	1	clpP		ATP-dependent Clp protease proteolytic subunit	9	9	1	2	3206	NA	NA		584	584	584	GOJPHPBD_09111	DEIPBNHI_08384	LBLIGOHA_07700	IIFCLKFN_07619	BOFCGCOL_09559	KJABKPCK_07541	KLLDKJAP_08659	HHDJLLAI_07819	IFEKPJDH_08030
cmtR	1	cmtR		HTH-type transcriptional regulator CmtR	3	3	1	1	10771	14	59		677	677	677	GOJPHPBD_02384	DEIPBNHI_02738			BOFCGCOL_03087				
