Genome,Annotation_method,type,start,end,ID,eC_number,Name,dbxref,gene,inference,locus_tag,product
Brachy_341_9,Prodigal:2.6,CDS,85599,86549,ID=GOJPHPBD_00074,eC_number=1.13.11.2,Name=catE_1,dbxref=COG:COG2514,gene=catE_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54721,locus_tag=GOJPHPBD_00074,product=Catechol-2%2C3-dioxygenase
Brachy_341_9_4,Prodigal:2.6,CDS,145845,146792,ID=GOJPHPBD_00323,Name=tagG_1,dbxref=COG:COG1682,gene=tagG_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P42953,locus_tag=GOJPHPBD_00323,product=Teichoic acid translocation permease protein TagG,NA
Brachy_341_9_5,Prodigal:2.6,CDS,234352,237900,ID=GOJPHPBD_00539,eC_number=2.1.1.72,Name=paeR7IM,gene=paeR7IM,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P05103,locus_tag=GOJPHPBD_00539,product=Modification methylase PaeR7I,NA
Brachy_341_9_7,Prodigal:2.6,CDS,7232,8557,ID=GOJPHPBD_00765,Name=rarA_1,dbxref=COG:COG2256,gene=rarA_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AAZ4,locus_tag=GOJPHPBD_00765,product=Replication-associated recombination protein A,NA
Brachy_341_9_7,Prodigal:2.6,CDS,58389,60101,ID=GOJPHPBD_00807,eC_number=3.6.-.-,Name=mnmE_1,gene=mnmE_1,inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00379,locus_tag=GOJPHPBD_00807,product=tRNA modification GTPase MnmE,NA
Brachy_341_9_8,Prodigal:2.6,CDS,271254,271742,ID=GOJPHPBD_01159,eC_number=2.-.-.-,Name=moaE2_3,dbxref=COG:COG0314,gene=moaE2_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WJR1,locus_tag=GOJPHPBD_01159,product=Molybdopterin synthase catalytic subunit 2
Brachy_341_9_12,Prodigal:2.6,CDS,77650,79056,ID=GOJPHPBD_01473,eC_number=3.6.4.12,Name=dnaB_1,dbxref=COG:COG0305,gene=dnaB_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WMR3,locus_tag=GOJPHPBD_01473,product=Replicative DNA helicase
Brachy_341_9_16,Aragorn:1.2,tRNA,22671,22747,ID=GOJPHPBD_01964,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=GOJPHPBD_01964,product=tRNA-Met(cat),NA,NA,NA,NA
Brachy_341_9_19,Aragorn:1.2,tRNA,4889,4963,ID=GOJPHPBD_02209,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=GOJPHPBD_02209,product=tRNA-Met(cat),NA,NA,NA,NA
Brachy_341_9_20,Prodigal:2.6,CDS,2728,3639,ID=GOJPHPBD_02395,Name=czcD_1,gene=czcD_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P13512,locus_tag=GOJPHPBD_02395,product=Metal cation efflux system protein CzcD,NA,NA
Brachy_341_9_20,Prodigal:2.6,CDS,196103,196543,ID=GOJPHPBD_02565,Name=glbO_1,dbxref=COG:COG2346,gene=glbO_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WN23,locus_tag=GOJPHPBD_02565,product=Group 2 truncated hemoglobin GlbO,NA
Brachy_341_9_21,Aragorn:1.2,tRNA,139452,139526,ID=GOJPHPBD_02738,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=GOJPHPBD_02738,product=tRNA-Met(cat),NA,NA,NA,NA
