KO	gene	genome	locus_tag	ftype	bp	EC.x	COG	product	Level1	Level2	Level3	Gene	Product	EC	EC2	EC3	Full	com
K00008	gutB	Brevi_962_8.fa	AGDBFNGI_00550	CDS	1062	1.1.1.14	COG1063	Sorbitol dehydrogenase	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	SORD,gutB	L-iditol2-dehydrogenase	1.1.1.14	NA	NA	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	Com_738
K00008	gutB	Brevi_962_8.fa	AGDBFNGI_00550	CDS	1062	1.1.1.14	COG1063	Sorbitol dehydrogenase	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	SORD,gutB	L-iditol2-dehydrogenase	1.1.1.14	NA	NA	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	Com_738
K00012	ugd	Brevi_738_8.fa	MCCDGJGB_03281	CDS	1167	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase	Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism	UGDH,ugd	UDPglucose6-dehydrogenase	1.1.1.22	NA	NA	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	Com_738
K00012	ugd	Brevi_738_8.fa	MCCDGJGB_03281	CDS	1167	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	UGDH,ugd	UDPglucose6-dehydrogenase	1.1.1.22	NA	NA	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	Com_738
K00012	ugd	Brevi_738_8.fa	MCCDGJGB_03281	CDS	1167	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism	UGDH,ugd	UDPglucose6-dehydrogenase	1.1.1.22	NA	NA	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	Com_738
K00262	rocG	Brevi_738_8.fa	MCCDGJGB_00810	CDS	1182	1.4.1.2	COG0334	Catabolic NAD-specific glutamate dehydrogenase RocG	Metabolism	Energy metabolism	Nitrogen metabolism	E1.4.1.4,gdhA	glutamatedehydrogenase(NADP+)	1.4.1.4	NA	NA	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	Com_738
K00262	rocG	Brevi_738_8.fa	MCCDGJGB_00810	CDS	1182	1.4.1.2	COG0334	Catabolic NAD-specific glutamate dehydrogenase RocG	Metabolism	Amino acid metabolism	Arginine biosynthesis	E1.4.1.4,gdhA	glutamatedehydrogenase(NADP+)	1.4.1.4	NA	NA	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	Com_738
K00262	rocG	Brevi_738_8.fa	MCCDGJGB_00810	CDS	1182	1.4.1.2	COG0334	Catabolic NAD-specific glutamate dehydrogenase RocG	Metabolism	Amino acid metabolism	Alanine,aspartate,and glutamate metabolism	E1.4.1.4,gdhA	glutamatedehydrogenase(NADP+)	1.4.1.4	NA	NA	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	Com_738
K00366	aniA	Brachy_947_11.fa	DNNBHHGK_00684	CDS	2829	1.7.2.1	COG2132	Copper-containing nitrite reductase	Metabolism	Energy metabolism	Nitrogen metabolism	nirA	ferredoxin-nitritereductase	1.7.7.1	NA	NA	nirA; ferredoxin-nitrite reductase [EC:1.7.7.1]	Com_738
K00917	lacC	Brachy_962_10.fa	MCMEOHNO_02283	CDS	1014	2.7.1.144	COG1105	Tagatose-6-phosphate kinase	Metabolism	Carbohydrate metabolism	Galactose metabolism	lacC	tagatose6-phosphatekinase	2.7.1.144	NA	NA	lacC; tagatose 6-phosphate kinase [EC:2.7.1.144]	Com_738
