locus_tag	ftype	length_bp	gene	EC_number	COG	product
ADMANBBD_00001	CDS	165				hypothetical protein
ADMANBBD_00002	CDS	438				hypothetical protein
ADMANBBD_00003	CDS	309			COG2963	Insertion element IS6110 uncharacterized 12.0 kDa protein
ADMANBBD_00004	CDS	1005	viuB_1		COG2375	Vibriobactin utilization protein ViuB
ADMANBBD_00005	CDS	1425	dsdA	4.3.1.18	COG3048	D-serine dehydratase
ADMANBBD_00006	CDS	3267				hypothetical protein
ADMANBBD_00007	CDS	1062				hypothetical protein
ADMANBBD_00008	CDS	1374	puuP_1		COG0531	Putrescine importer PuuP
ADMANBBD_00009	CDS	933	arcB	1.5.1.49		Delta(1)-pyrroline-2-carboxylate reductase
ADMANBBD_00010	CDS	378				hypothetical protein
ADMANBBD_00011	CDS	1029	gltR		COG0583	HTH-type transcriptional regulator GltR
ADMANBBD_00012	CDS	1302	yeaW	1.14.13.-	COG4638	Carnitine monooxygenase oxygenase subunit
ADMANBBD_00013	CDS	1239	kshB_1	1.14.13.142		3-ketosteroid-9-alpha-monooxygenase, ferredoxin reductase component
ADMANBBD_00014	CDS	471				hypothetical protein
ADMANBBD_00015	CDS	960		1.3.1.103		2-haloacrylate reductase
ADMANBBD_00016	CDS	2067	stcD	1.-.-.-		putative N-methylproline demethylase
ADMANBBD_00017	CDS	753	mcbR_1		COG1802	HTH-type transcriptional regulator McbR
ADMANBBD_00018	CDS	1617	proP_1			Ectoine/proline transporter ProP
ADMANBBD_00019	CDS	1833				hypothetical protein
ADMANBBD_00020	CDS	1524	speA_1	4.1.1.19	COG1982	Arginine decarboxylase
ADMANBBD_00021	CDS	1020	oxyR_1			Hydrogen peroxide-inducible genes activator
ADMANBBD_00022	CDS	459			COG1959	Putative HTH-type transcriptional regulator
ADMANBBD_00023	CDS	909				hypothetical protein
ADMANBBD_00024	CDS	1386				hypothetical protein
ADMANBBD_00025	CDS	414				hypothetical protein
ADMANBBD_00026	CDS	936	liuE	4.1.3.26	COG0119	3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase
ADMANBBD_00027	CDS	1275	mvaA	1.1.1.88		3-hydroxy-3-methylglutaryl-coenzyme A reductase
ADMANBBD_00028	CDS	1899				hypothetical protein
ADMANBBD_00029	CDS	1269	aspC_1	2.6.1.1	COG0436	putative aspartate aminotransferase
ADMANBBD_00030	CDS	798	rbbA		COG0842	Ribosome-associated ATPase
ADMANBBD_00031	CDS	735	ybhR		COG0842	putative multidrug ABC transporter permease YbhR
ADMANBBD_00032	CDS	582				hypothetical protein
ADMANBBD_00033	CDS	1170	yhaP		COG1668	putative protein YhaP
ADMANBBD_00034	CDS	888	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
ADMANBBD_00035	CDS	663	liaR_1		COG2197	Transcriptional regulatory protein LiaR
ADMANBBD_00036	CDS	1374	nreB_1	2.7.13.3		Oxygen sensor histidine kinase NreB
ADMANBBD_00037	CDS	849				hypothetical protein
ADMANBBD_00038	CDS	630	sigK			ECF RNA polymerase sigma factor SigK
ADMANBBD_00039	CDS	678				Cell surface glycolipoprotein MPB83
ADMANBBD_00040	CDS	1584	msrP_1	1.8.5.-	COG2041	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
ADMANBBD_00041	CDS	501				Organic hydroperoxide resistance protein-like protein
ADMANBBD_00042	CDS	900	pytH	3.1.1.88		Pyrethroid hydrolase
ADMANBBD_00043	CDS	684				hypothetical protein
ADMANBBD_00044	CDS	864		2.7.4.-	COG2326	Polyphosphate:AMP/ADP phosphotransferase
ADMANBBD_00045	CDS	423				hypothetical protein
ADMANBBD_00046	CDS	615	sttH	3.5.2.19		Streptothricin hydrolase
ADMANBBD_00047	CDS	1209				hypothetical protein
ADMANBBD_00048	CDS	1323	dnaJ			Chaperone protein DnaJ
ADMANBBD_00049	CDS	1266	kynU	3.7.1.3		Kynureninase
ADMANBBD_00050	CDS	495	lrpC_1		COG1522	HTH-type transcriptional regulator LrpC
ADMANBBD_00051	CDS	408				hypothetical protein
ADMANBBD_00052	CDS	582				hypothetical protein
ADMANBBD_00053	CDS	432				hypothetical protein
ADMANBBD_00054	CDS	1836	recQ_1	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
ADMANBBD_00055	CDS	759	pssM	2.5.1.98		Exopolysaccharide glucosyl ketal-pyruvate-transferase
ADMANBBD_00056	CDS	1950	tarF	2.7.8.12		Teichoic acid poly(glycerol phosphate) polymerase
ADMANBBD_00057	CDS	1746				hypothetical protein
ADMANBBD_00058	CDS	1029	rutR		COG1309	HTH-type transcriptional regulator RutR
ADMANBBD_00059	CDS	1548	appA			Oligopeptide-binding protein AppA
ADMANBBD_00060	CDS	954	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
ADMANBBD_00061	CDS	918	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
ADMANBBD_00062	CDS	1728	gsiA_1	3.6.3.-	COG1123	Glutathione import ATP-binding protein GsiA
ADMANBBD_00063	CDS	1392				hypothetical protein
ADMANBBD_00064	CDS	681				hypothetical protein
ADMANBBD_00065	CDS	837	sseB	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase SseB
ADMANBBD_00066	CDS	1263				hypothetical protein
ADMANBBD_00067	CDS	948	ksgA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
ADMANBBD_00068	CDS	951	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
ADMANBBD_00069	CDS	747				hypothetical protein
ADMANBBD_00070	CDS	1404	ygbN_1		COG2610	Inner membrane permease YgbN
ADMANBBD_00071	CDS	498	gntK	2.7.1.12	COG3265	Thermoresistant gluconokinase
ADMANBBD_00072	CDS	1536	gndA	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating
ADMANBBD_00073	CDS	1137	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
ADMANBBD_00074	CDS	942				hypothetical protein
ADMANBBD_00075	CDS	1047	yitJ		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
ADMANBBD_00076	CDS	1065				hypothetical protein
ADMANBBD_00077	CDS	345	yocK		COG1734	General stress protein 16O
ADMANBBD_00078	CDS	1842	yheS_1		COG0488	putative ABC transporter ATP-binding protein YheS
ADMANBBD_00079	CDS	1071	tmpC		COG1744	Membrane lipoprotein TmpC
ADMANBBD_00080	CDS	1605	rbsA	3.6.3.17	COG1129	Ribose import ATP-binding protein RbsA
ADMANBBD_00081	CDS	1233				hypothetical protein
ADMANBBD_00082	CDS	1284				hypothetical protein
ADMANBBD_00083	CDS	495	cdd	3.5.4.5	COG0295	Cytidine deaminase
ADMANBBD_00084	CDS	1290	deoA	2.4.2.4	COG0213	Thymidine phosphorylase
ADMANBBD_00085	CDS	651	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
ADMANBBD_00086	CDS	336				hypothetical protein
ADMANBBD_00087	CDS	1251	bioB_1	2.8.1.6		Biotin synthase
ADMANBBD_00088	CDS	1335	bioA	2.6.1.62		Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
ADMANBBD_00089	CDS	1131	bioF	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase
ADMANBBD_00090	CDS	768	bioD	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD
ADMANBBD_00091	CDS	1878		5.4.2.8	COG1109	putative phosphomannomutase
ADMANBBD_00092	CDS	810	punA	2.4.2.1		Purine nucleoside phosphorylase
ADMANBBD_00093	CDS	1002				hypothetical protein
ADMANBBD_00094	CDS	993	proY		COG1113	Proline-specific permease ProY
ADMANBBD_00095	CDS	3639	essC		COG1674	ESAT-6 secretion machinery protein EssC
ADMANBBD_00096	CDS	438				hypothetical protein
ADMANBBD_00097	CDS	495				hypothetical protein
ADMANBBD_00098	CDS	450				hypothetical protein
ADMANBBD_00099	CDS	234				hypothetical protein
ADMANBBD_00100	CDS	939				hypothetical protein
ADMANBBD_00101	CDS	930				hypothetical protein
ADMANBBD_00102	CDS	1224			COG4962	Putative conjugal transfer protein
ADMANBBD_00103	CDS	1227	hmp	1.14.12.17		Flavohemoprotein
ADMANBBD_00104	CDS	1119	prfB		COG1186	Peptide chain release factor 2
ADMANBBD_00105	CDS	702	ftsE		COG2884	Cell division ATP-binding protein FtsE
ADMANBBD_00106	CDS	915	ftsX		COG2177	Cell division protein FtsX
ADMANBBD_00107	CDS	1230	mepM_1	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
ADMANBBD_00108	CDS	471	smpB		COG0691	SsrA-binding protein
ADMANBBD_00109	tmRNA	376	ssrA			transfer-messenger RNA, SsrA
ADMANBBD_00110	CDS	1653	xsc	2.3.3.15		Sulfoacetaldehyde acetyltransferase
ADMANBBD_00111	CDS	1524	opuE_1		COG0591	Osmoregulated proline transporter OpuE
ADMANBBD_00112	CDS	1683	aruI_1	4.1.1.75	COG0028	putative 2-ketoarginine decarboxylase AruI
ADMANBBD_00113	CDS	1011	gbh	3.5.3.7		Guanidinobutyrase
ADMANBBD_00114	CDS	1482				hypothetical protein
ADMANBBD_00115	CDS	195	pat_1	2.6.1.-	COG0079	Putative phenylalanine aminotransferase
ADMANBBD_00116	CDS	1068				hypothetical protein
ADMANBBD_00117	CDS	1098	pat_2	2.6.1.-	COG0079	Putative phenylalanine aminotransferase
ADMANBBD_00118	CDS	795				hypothetical protein
ADMANBBD_00119	CDS	1077				hypothetical protein
ADMANBBD_00120	CDS	975				hypothetical protein
ADMANBBD_00121	CDS	453				hypothetical protein
ADMANBBD_00122	CDS	885			COG1721	putative protein
ADMANBBD_00123	CDS	996	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
ADMANBBD_00124	CDS	249	nrdH		COG0695	Glutaredoxin-like protein NrdH
ADMANBBD_00125	CDS	414	nrdI_1		COG1780	Protein NrdI
ADMANBBD_00126	CDS	2163	nrdE1_1	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha 1
ADMANBBD_00127	CDS	981	nrdF2_1	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta nrdF2
ADMANBBD_00128	CDS	1116			COG4129	putative protein
ADMANBBD_00129	CDS	165				hypothetical protein
ADMANBBD_00130	CDS	1164	dacF	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacF
ADMANBBD_00131	CDS	798	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
ADMANBBD_00132	CDS	1761	sdhA_1	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
ADMANBBD_00133	CDS	453				hypothetical protein
ADMANBBD_00134	CDS	378	sdhC		COG2009	Succinate dehydrogenase 2 membrane subunit SdhC
