locus_tag	ftype	length_bp	gene	EC_number	COG	product
Brevi_962_8.fa_00001	tRNA	75				tRNA-Met(cat)
Brevi_962_8.fa_00002	CDS	549				hypothetical protein
Brevi_962_8.fa_00003	CDS	1272	dapC	2.6.1.17		putative N-succinyldiaminopimelate aminotransferase DapC
Brevi_962_8.fa_00004	CDS	807	hisN	3.1.3.15	COG0483	Histidinol-phosphatase
Brevi_962_8.fa_00005	CDS	1032	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
Brevi_962_8.fa_00006	CDS	1323	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
Brevi_962_8.fa_00007	CDS	498				hypothetical protein
Brevi_962_8.fa_00008	CDS	657	sigR		COG1595	ECF RNA polymerase sigma factor SigR
Brevi_962_8.fa_00009	CDS	273	rshA			Anti-sigma factor RshA
Brevi_962_8.fa_00010	CDS	615				hypothetical protein
Brevi_962_8.fa_00011	CDS	3762	kgd	2.2.1.5	COG0508	Multifunctional 2-oxoglutarate metabolism enzyme
Brevi_962_8.fa_00012	CDS	1458	guaB1	1.-.-.-	COG0516	putative oxidoreductase
Brevi_962_8.fa_00013	CDS	1329				hypothetical protein
Brevi_962_8.fa_00014	CDS	1041			COG1253	putative protein
Brevi_962_8.fa_00015	CDS	1038	yodJ	3.4.-.-	COG1876	Putative carboxypeptidase YodJ
Brevi_962_8.fa_00016	tRNA	76				tRNA-Arg(ccg)
Brevi_962_8.fa_00017	CDS	825	bceA		COG1136	Bacitracin export ATP-binding protein BceA
Brevi_962_8.fa_00018	CDS	2550	ytrF_1		COG0577	ABC transporter permease YtrF
Brevi_962_8.fa_00019	CDS	1176	yycB_1		COG2807	putative transporter YycB
Brevi_962_8.fa_00020	CDS	903	argS_1	6.1.1.19	COG0018	Arginine--tRNA ligase
Brevi_962_8.fa_00021	CDS	1437	lysA_1	4.1.1.20	COG0019	Diaminopimelate decarboxylase
Brevi_962_8.fa_00022	CDS	1308	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
Brevi_962_8.fa_00023	CDS	1089	thrC	4.2.3.1	COG0498	Threonine synthase
Brevi_962_8.fa_00024	CDS	909	thrB_1	2.7.1.39	COG0083	Homoserine kinase
Brevi_962_8.fa_00025	CDS	96				hypothetical protein
Brevi_962_8.fa_00026	CDS	1155	rho	3.6.4.-		Transcription termination factor Rho
Brevi_962_8.fa_00027	CDS	1080	prfA		COG0216	Peptide chain release factor 1
Brevi_962_8.fa_00028	CDS	879	prmC_1	2.1.1.297	COG2890	Release factor glutamine methyltransferase
Brevi_962_8.fa_00029	CDS	651		2.7.7.87	COG0009	Putative threonylcarbamoyl-AMP synthase
Brevi_962_8.fa_00030	CDS	1110	wecA	2.7.8.35	COG0472	Decaprenyl-phosphate N-acetylglucosaminephosphotransferase
Brevi_962_8.fa_00031	CDS	447				hypothetical protein
Brevi_962_8.fa_00032	CDS	813	atpB		COG0356	ATP synthase subunit a
Brevi_962_8.fa_00033	CDS	228	atpE			ATP synthase subunit c
Brevi_962_8.fa_00034	CDS	552	atpF		COG0711	ATP synthase subunit b
Brevi_962_8.fa_00035	CDS	807	atpH			ATP synthase subunit delta
Brevi_962_8.fa_00036	CDS	1635	atpA	3.6.3.14		ATP synthase subunit alpha
Brevi_962_8.fa_00037	CDS	933	atpG			ATP synthase gamma chain
Brevi_962_8.fa_00038	CDS	1449	atpD	3.6.3.14		ATP synthase subunit beta
Brevi_962_8.fa_00039	CDS	261	atpC		COG0355	ATP synthase epsilon chain
Brevi_962_8.fa_00040	CDS	528				hypothetical protein
Brevi_962_8.fa_00041	CDS	1314	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
Brevi_962_8.fa_00042	CDS	696	nucS	3.1.-.-	COG1637	Endonuclease NucS
Brevi_962_8.fa_00043	CDS	297				putative protein
Brevi_962_8.fa_00044	CDS	132				hypothetical protein
Brevi_962_8.fa_00045	CDS	1587				hypothetical protein
Brevi_962_8.fa_00046	CDS	1191		2.3.1.9	COG0183	putative acetyl-CoA acetyltransferase
Brevi_962_8.fa_00047	CDS	315				hypothetical protein
Brevi_962_8.fa_00048	CDS	207				hypothetical protein
Brevi_962_8.fa_00049	tRNA	75				tRNA-Arg(tct)
Brevi_962_8.fa_00050	CDS	1698				hypothetical protein
Brevi_962_8.fa_00051	CDS	1581	era_1			GTPase Era
Brevi_962_8.fa_00052	CDS	600	ssb_1		COG0629	Single-stranded DNA-binding protein
Brevi_962_8.fa_00053	CDS	726				hypothetical protein
Brevi_962_8.fa_00054	CDS	1683	ettA		COG0488	Energy-dependent translational throttle protein EttA
Brevi_962_8.fa_00055	CDS	258				hypothetical protein
Brevi_962_8.fa_00056	CDS	909	tesB	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
Brevi_962_8.fa_00057	CDS	552				hypothetical protein
Brevi_962_8.fa_00058	CDS	675				hypothetical protein
Brevi_962_8.fa_00059	CDS	402	glbO		COG2346	Group 2 truncated hemoglobin GlbO
Brevi_962_8.fa_00060	CDS	1119	ykuT		COG0668	putative MscS family protein YkuT
